decade,all_artwork_num,(not assigned)_total,(not assigned)_continents,Architectural Model_total,Architectural Model_continents,Architecture_total,Architecture_continents,Audio_total,Audio_continents,Collage_total,Collage_continents,Design_total,Design_continents,Digital_total,Digital_continents,Drawing_total,Drawing_continents,Ephemera_total,Ephemera_continents,Film_total,Film_continents,Film (object)_total,Film (object)_continents,Frank Lloyd Wright Archive_total,Frank Lloyd Wright Archive_continents,Furniture and Interiors_total,Furniture and Interiors_continents,Graphic Design_total,Graphic Design_continents,Illustrated Book_total,Illustrated Book_continents,Installation_total,Installation_continents,Media_total,Media_continents,Mies van der Rohe Archive_total,Mies van der Rohe Archive_continents,Multiple_total,Multiple_continents,Painting_total,Painting_continents,Performance_total,Performance_continents,Periodical_total,Periodical_continents,Photograph_total,Photograph_continents,Photography Research/Reference_total,Photography Research/Reference_continents,Poster_total,Poster_continents,Print_total,Print_continents,Publication_total,Publication_continents,Sculpture_total,Sculpture_continents,Software_total,Software_continents,Textile_total,Textile_continents,Video_total,Video_continents,Work on Paper_total,Work on Paper_continents
1930s,7155,1,"{""Europe"":1}",0,{},59,"{""Europe"":32,""North America"":23,""South America"":4}",0,{},0,{},996,"{""Europe"":638,""North America"":351,""Asia"":4,""South America"":3}",2,"{""North America"":2}",426,"{""North America"":281,""Europe"":134,""South America"":10,""Oceania"":1}",0,{},19,"{""North America"":16,""Europe"":3}",0,{},59,"{""North America"":59}",0,{},0,{},2600,"{""Europe"":2177,""North America"":412,""South America"":6,""Asia"":5}",0,{},0,{},308,"{""North America"":242,""Europe"":66}",0,{},129,"{""North America"":62,""Europe"":57,""South America"":9,""Oceania"":1}",0,{},7,"{""Europe"":6,""North America"":1}",1723,"{""North America"":1246,""Europe"":428,""South America"":33,""Asia"":16}",0,{},0,{},760,"{""North America"":422,""Europe"":310,""South America"":27,""Asia"":1}",0,{},66,"{""Europe"":35,""North America"":30,""South America"":1}",0,{},0,{},0,{},0,{}
1940s,7588,0,{},0,{},25,"{""North America"":18,""Europe"":5,""South America"":2}",0,{},0,{},686,"{""North America"":435,""Europe"":239,""Oceania"":9,""Asia"":2,""South America"":1}",0,{},485,"{""North America"":273,""Europe"":197,""South America"":15}",0,{},31,"{""North America"":27,""Europe"":4}",0,{},44,"{""North America"":44}",0,{},0,{},4290,"{""Europe"":3766,""North America"":458,""Asia"":57,""South America"":7,""Africa"":2}",0,{},0,{},93,"{""North America"":91,""Europe"":2}",0,{},222,"{""North America"":146,""Europe"":57,""South America"":19}",0,{},0,{},938,"{""North America"":773,""Europe"":127,""South America"":20,""Asia"":18}",0,{},0,{},721,"{""North America"":351,""Europe"":332,""South America"":35,""Asia"":2,""Oceania"":1}",0,{},53,"{""North America"":28,""Europe"":21,""South America"":4}",0,{},0,{},0,{},0,{}
1950s,6410,0,{},0,{},83,"{""North America"":50,""Europe"":21,""South America"":12}",12,"{""North America"":10,""Europe"":2}",0,{},875,"{""Europe"":434,""North America"":393,""Asia"":33,""South America"":15}",0,{},415,"{""North America"":224,""Europe"":108,""South America"":59,""Asia"":21,""Africa"":2,""Oceania"":1}",0,{},30,"{""North America"":27,""Europe"":2,""South America"":1}",2,"{""North America"":2}",59,"{""North America"":59}",0,{},0,{},2058,"{""Europe"":1254,""North America"":708,""South America"":92,""Asia"":4}",1,"{""Europe"":1}",0,{},40,"{""North America"":40}",0,{},260,"{""North America"":136,""Europe"":81,""South America"":35,""Asia"":5,""Oceania"":2,""Africa"":1}",0,{},3,"{""Europe"":2,""North America"":1}",1096,"{""North America"":864,""Europe"":151,""Asia"":44,""South America"":33,""Africa"":4}",0,{},3,"{""North America"":3}",1299,"{""Europe"":833,""North America"":372,""Asia"":78,""South America"":14,""Africa"":2}",0,{},133,"{""North America"":74,""Europe"":53,""Asia"":3,""South America"":3}",0,{},0,{},4,"{""North America"":4}",37,"{""North America"":22,""Europe"":15}"
1960s,14060,46,"{""North America"":31,""Europe"":11,""Asia"":4}",0,{},192,"{""Europe"":79,""North America"":68,""South America"":39,""Asia"":6}",71,"{""North America"":51,""Europe"":20}",1,"{""North America"":1}",1304,"{""North America"":593,""Europe"":588,""South America"":64,""Asia"":55,""Oceania"":3,""Africa"":1}",2,"{""North America"":2}",1414,"{""North America"":880,""Europe"":403,""Asia"":70,""South America"":45,""Oceania"":9,""Africa"":7}",16,"{""North America"":13,""Europe"":2,""South America"":1}",134,"{""North America"":114,""Europe"":13,""Asia"":6,""South America"":1}",0,{},0,{},0,{},0,{},3083,"{""North America"":1394,""Europe"":1361,""South America"":186,""Asia"":141,""Oceania"":1}",38,"{""North America"":15,""Europe"":12,""South America"":9,""Africa"":1,""Asia"":1}",2,"{""Europe"":1,""North America"":1}",11,"{""North America"":11}",400,"{""North America"":249,""Europe"":121,""Asia"":28,""South America"":2}",326,"{""North America"":197,""Europe"":79,""South America"":27,""Asia"":17,""Africa"":4,""Oceania"":2}",9,"{""North America"":9}",27,"{""Europe"":17,""North America"":10}",1521,"{""North America"":1098,""Europe"":264,""Asia"":110,""South America"":38,""Africa"":11}",0,{},1,"{""North America"":1}",4888,"{""North America"":3228,""Europe"":1257,""Asia"":196,""South America"":192,""Oceania"":13,""Africa"":2}",0,{},422,"{""North America"":222,""Europe"":160,""South America"":21,""Asia"":18,""Africa"":1}",0,{},8,"{""North America"":7,""Europe"":1}",115,"{""North America"":77,""Europe"":34,""Asia"":4}",29,"{""Europe"":28,""North America"":1}"
1970s,9415,11,"{""North America"":10,""Europe"":1}",0,{},260,"{""Europe"":135,""North America"":66,""South America"":58,""Asia"":1}",84,"{""North America"":52,""Europe"":32}",6,"{""North America"":4,""Europe"":2}",780,"{""Europe"":433,""North America"":262,""Asia"":68,""South America"":16,""Oceania"":1}",1,"{""South America"":1}",942,"{""North America"":643,""Europe"":222,""South America"":47,""Asia"":16,""Africa"":9,""Oceania"":5}",23,"{""North America"":20,""Europe"":2,""Asia"":1}",155,"{""North America"":138,""Europe"":16,""Africa"":1}",0,{},0,{},0,{},1,"{""North America"":1}",1519,"{""Europe"":861,""North America"":549,""Oceania"":54,""South America"":33,""Asia"":22}",52,"{""North America"":28,""Europe"":17,""South America"":6,""Asia"":1}",1,"{""North America"":1}",0,{},149,"{""North America"":101,""Europe"":41,""Asia"":5,""South America"":2}",169,"{""North America"":122,""Europe"":30,""Asia"":8,""South America"":8,""Oceania"":1}",5,"{""North America"":5}",6,"{""Europe"":3,""North America"":3}",1950,"{""North America"":1560,""Europe"":284,""Asia"":62,""Africa"":32,""South America"":10,""Oceania"":2}",0,{},3,"{""North America"":2,""Europe"":1}",2543,"{""North America"":1574,""Europe"":762,""South America"":117,""Asia"":78,""Oceania"":9,""Africa"":3}",0,{},160,"{""North America"":123,""Europe"":22,""South America"":12,""Asia"":3}",0,{},4,"{""South America"":2,""Europe"":1,""North America"":1}",574,"{""North America"":435,""Europe"":93,""Asia"":25,""South America"":21}",17,"{""Europe"":13,""North America"":4}"
1980s,7609,4,"{""Europe"":3,""North America"":1}",0,{},216,"{""Europe"":133,""North America"":64,""Asia"":10,""South America"":9}",104,"{""North America"":77,""Europe"":27}",0,{},646,"{""Europe"":334,""North America"":216,""Asia"":86,""South America"":6,""Oceania"":3,""Africa"":1}",0,{},678,"{""North America"":422,""Europe"":206,""South America"":33,""Africa"":9,""Asia"":8}",24,"{""North America"":23,""Europe"":1}",111,"{""North America"":93,""Europe"":12,""Asia"":4,""Africa"":1,""South America"":1}",0,{},0,{},0,{},0,{},2193,"{""Europe"":1189,""North America"":908,""South America"":53,""Oceania"":43}",26,"{""North America"":14,""South America"":6,""Europe"":5,""Asia"":1}",4,"{""North America"":4}",0,{},78,"{""North America"":54,""Europe"":24}",164,"{""North America"":101,""Europe"":57,""Africa"":3,""South America"":2,""Asia"":1}",1,"{""North America"":1}",9,"{""North America"":5,""Europe"":4}",1199,"{""North America"":918,""Europe"":206,""South America"":38,""Asia"":25,""Africa"":12}",0,{},0,{},1431,"{""North America"":1004,""Europe"":306,""South America"":78,""Asia"":21,""Africa"":14,""Oceania"":8}",0,{},126,"{""North America"":86,""Europe"":34,""South America"":5,""Asia"":1}",0,{},1,"{""Asia"":1}",575,"{""North America"":296,""Europe"":219,""Asia"":38,""South America"":20,""Oceania"":2}",19,"{""Europe"":11,""North America"":8}"
1990s,6085,0,{},0,{},152,"{""Europe"":86,""North America"":50,""Asia"":13,""South America"":3}",74,"{""North America"":48,""Europe"":26}",0,{},598,"{""Europe"":331,""North America"":163,""Asia"":89,""South America"":10,""Africa"":3,""Oceania"":2}",0,{},1267,"{""Africa"":476,""North America"":430,""Europe"":199,""Asia"":142,""South America"":19,""Oceania"":1}",18,"{""North America"":18}",81,"{""North America"":59,""Europe"":15,""Asia"":4,""Africa"":2,""South America"":1}",0,{},0,{},0,{},0,{},757,"{""North America"":390,""Europe"":263,""South America"":95,""Asia"":9}",64,"{""North America"":38,""Europe"":20,""Asia"":3,""South America"":3}",2,"{""North America"":2}",0,{},106,"{""North America"":62,""Europe"":33,""Asia"":8,""South America"":3}",57,"{""North America"":32,""Europe"":18,""South America"":4,""Asia"":2,""Africa"":1}",0,{},21,"{""North America"":11,""Europe"":8,""Asia"":2}",893,"{""North America"":464,""Europe"":307,""Asia"":83,""South America"":32,""Africa"":7}",0,{},0,{},1510,"{""North America"":950,""Europe"":343,""South America"":130,""Asia"":44,""Africa"":30,""Oceania"":13}",0,{},93,"{""North America"":56,""Europe"":20,""Africa"":7,""South America"":7,""Asia"":3}",0,{},0,{},382,"{""North America"":255,""Europe"":93,""Asia"":22,""South America"":12}",10,"{""Europe"":8,""North America"":2}"
2000s,5880,1,"{""North America"":1}",0,{},169,"{""Europe"":85,""North America"":50,""South America"":19,""Asia"":14,""Africa"":1}",73,"{""North America"":40,""Europe"":33}",0,{},513,"{""Europe"":292,""North America"":167,""Asia"":45,""Africa"":3,""Oceania"":3,""South America"":3}",0,{},1315,"{""North America"":768,""Europe"":412,""Asia"":67,""South America"":50,""Africa"":14,""Oceania"":4}",84,"{""North America"":83,""South America"":1}",83,"{""North America"":43,""Europe"":29,""Asia"":9,""Africa"":2}",0,{},0,{},0,{},0,{},251,"{""North America"":182,""Europe"":45,""Asia"":13,""South America"":8,""Africa"":3}",314,"{""North America"":199,""Europe"":68,""Asia"":20,""South America"":19,""Africa"":8}",5,"{""North America"":5}",0,{},64,"{""Europe"":34,""North America"":26,""Asia"":2,""Africa"":1,""South America"":1}",78,"{""North America"":42,""Europe"":28,""Africa"":3,""Asia"":3,""South America"":2}",2,"{""Europe"":2}",126,"{""Europe"":61,""North America"":56,""Asia"":6,""South America"":2,""Africa"":1}",463,"{""North America"":261,""Europe"":123,""Africa"":40,""Asia"":26,""South America"":13}",0,{},4,"{""North America"":4}",1943,"{""North America"":1021,""Europe"":531,""Asia"":138,""South America"":129,""Africa"":124}",0,{},71,"{""North America"":34,""Europe"":21,""Asia"":11,""South America"":3,""Africa"":1,""Oceania"":1}",0,{},3,"{""North America"":3}",315,"{""North America"":152,""Europe"":111,""Asia"":36,""South America"":13,""Africa"":2,""Oceania"":1}",3,"{""Europe"":3}"
2010s,2288,0,{},1,"{""North America"":1}",170,"{""Europe"":77,""North America"":53,""South America"":20,""Asia"":16,""Africa"":4}",6,"{""North America"":3,""Europe"":2,""South America"":1}",0,{},294,"{""Europe"":131,""North America"":130,""Asia"":29,""Oceania"":3,""South America"":1}",1,"{""North America"":1}",91,"{""North America"":49,""Europe"":15,""Asia"":14,""South America"":11,""Africa"":2}",34,"{""North America"":34}",22,"{""North America"":14,""Europe"":4,""Africa"":1,""Asia"":1,""Oceania"":1,""South America"":1}",0,{},0,{},1,"{""North America"":1}",1,"{""North America"":1}",145,"{""North America"":81,""Europe"":38,""Asia"":18,""South America"":8}",90,"{""North America"":36,""Europe"":23,""Asia"":20,""Africa"":5,""South America"":5,""Oceania"":1}",1,"{""North America"":1}",0,{},82,"{""Europe"":27,""North America"":23,""South America"":18,""Asia"":12,""Africa"":2}",45,"{""North America"":25,""Europe"":18,""Asia"":1,""South America"":1}",5,"{""North America"":5}",76,"{""Europe"":39,""North America"":22,""Asia"":10,""Africa"":4,""South America"":1}",310,"{""North America"":191,""Europe"":75,""Asia"":30,""Africa"":8,""South America"":6}",0,{},3,"{""North America"":3}",667,"{""North America"":436,""Europe"":181,""Asia"":24,""South America"":21,""Africa"":5}",0,{},65,"{""North America"":33,""Europe"":14,""Africa"":10,""Oceania"":3,""South America"":3,""Asia"":2}",1,"{""North America"":1}",7,"{""North America"":7}",166,"{""North America"":85,""Europe"":34,""Asia"":23,""South America"":13,""Africa"":10,""Oceania"":1}",4,"{""North America"":3,""Europe"":1}"
2020s,2,0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},2,"{""North America"":2}",0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{}
