decade,all_artwork_num,(not assigned)_total,(not assigned)_continents,Architectural Model_total,Architectural Model_continents,Architecture_total,Architecture_continents,Audio_total,Audio_continents,Collage_total,Collage_continents,Design_total,Design_continents,Digital_total,Digital_continents,Drawing_total,Drawing_continents,Ephemera_total,Ephemera_continents,Film_total,Film_continents,Film (object)_total,Film (object)_continents,Frank Lloyd Wright Archive_total,Frank Lloyd Wright Archive_continents,Furniture and Interiors_total,Furniture and Interiors_continents,Graphic Design_total,Graphic Design_continents,Illustrated Book_total,Illustrated Book_continents,Installation_total,Installation_continents,Media_total,Media_continents,Mies van der Rohe Archive_total,Mies van der Rohe Archive_continents,Multiple_total,Multiple_continents,Painting_total,Painting_continents,Performance_total,Performance_continents,Periodical_total,Periodical_continents,Photograph_total,Photograph_continents,Photography Research/Reference_total,Photography Research/Reference_continents,Poster_total,Poster_continents,Print_total,Print_continents,Publication_total,Publication_continents,Sculpture_total,Sculpture_continents,Software_total,Software_continents,Textile_total,Textile_continents,Video_total,Video_continents,Work on Paper_total,Work on Paper_continents
1760s,2,0,{},0,{},0,{},0,{},0,{},2,"{""Europe"":2}",0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{}
1770s,0,0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{}
1780s,0,0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{}
1790s,80,0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},80,"{""Europe"":80}",0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{}
1800s,0,0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{}
1810s,423,0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},422,"{""Europe"":422}",0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},1,"{""Europe"":1}",0,{},0,{},0,{},0,{},0,{},0,{}
1820s,19,0,{},0,{},0,{},0,{},0,{},1,"{""Europe"":1}",0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},18,"{""Europe"":18}",0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{}
1830s,14,0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},7,"{""Europe"":7}",0,{},0,{},0,{},0,{},0,{},0,{},0,{},5,"{""Europe"":4,""North America"":1}",0,{},0,{},2,"{""Europe"":2}",0,{},0,{},0,{},0,{},0,{},0,{}
1840s,140,0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},133,"{""Europe"":133}",0,{},0,{},7,"{""Europe"":7}",0,{},0,{},0,{},0,{},0,{},0,{}
1850s,596,0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},103,"{""Europe"":103}",0,{},0,{},0,{},0,{},0,{},0,{},0,{},485,"{""Europe"":454,""North America"":31}",0,{},0,{},8,"{""Europe"":6,""North America"":2}",0,{},0,{},0,{},0,{},0,{},0,{}
1860s,826,0,{},0,{},0,{},0,{},0,{},3,"{""Europe"":3}",0,{},6,"{""Europe"":6}",0,{},0,{},0,{},0,{},0,{},0,{},21,"{""Europe"":21}",0,{},0,{},0,{},0,{},0,{},0,{},0,{},786,"{""North America"":458,""Europe"":328}",0,{},0,{},10,"{""Europe"":9,""North America"":1}",0,{},0,{},0,{},0,{},0,{},0,{}
1870s,618,0,{},0,{},0,{},0,{},0,{},8,"{""Europe"":7,""North America"":1}",0,{},9,"{""Europe"":8,""North America"":1}",0,{},0,{},0,{},0,{},0,{},0,{},15,"{""Europe"":15}",0,{},0,{},0,{},0,{},8,"{""Europe"":8}",0,{},0,{},553,"{""Europe"":361,""North America"":192}",0,{},0,{},24,"{""Europe"":19,""North America"":5}",0,{},1,"{""Europe"":1}",0,{},0,{},0,{},0,{}
1880s,465,0,{},0,{},1,"{""Europe"":1}",0,{},0,{},15,"{""Europe"":15}",0,{},21,"{""Europe"":21}",0,{},0,{},0,{},2,"{""North America"":2}",0,{},0,{},84,"{""Europe"":84}",0,{},0,{},0,{},0,{},14,"{""Europe"":14}",0,{},0,{},195,"{""North America"":105,""Europe"":90}",0,{},0,{},131,"{""Europe"":121,""North America"":10}",0,{},2,"{""Europe"":2}",0,{},0,{},0,{},0,{}
1890s,1993,0,{},0,{},6,"{""North America"":4,""Europe"":2}",0,{},0,{},94,"{""Europe"":73,""North America"":21}",0,{},39,"{""Europe"":35,""North America"":4}",2,"{""Europe"":1,""North America"":1}",0,{},1,"{""Europe"":1}",22,"{""North America"":22}",0,{},0,{},637,"{""Europe"":636,""North America"":1}",0,{},0,{},0,{},0,{},11,"{""Europe"":10,""North America"":1}",0,{},0,{},554,"{""Europe"":324,""North America"":230}",0,{},0,{},617,"{""Europe"":559,""North America"":58}",0,{},10,"{""Europe"":10}",0,{},0,{},0,{},0,{}
1900s,3019,0,{},0,{},14,"{""Europe"":11,""North America"":3}",0,{},0,{},177,"{""Europe"":147,""North America"":30}",0,{},104,"{""Europe"":83,""North America"":21}",0,{},2,"{""North America"":2}",0,{},40,"{""North America"":40}",0,{},0,{},727,"{""Europe"":725,""North America"":2}",0,{},0,{},0,{},0,{},48,"{""Europe"":46,""North America"":2}",0,{},0,{},1549,"{""Europe"":1232,""North America"":300,""Asia"":17}",0,{},0,{},349,"{""Europe"":252,""North America"":95,""Asia"":1,""South America"":1}",0,{},9,"{""Europe"":9}",0,{},0,{},0,{},0,{}
1910s,4789,0,{},0,{},28,"{""North America"":19,""Europe"":9}",1,"{""North America"":1}",0,{},194,"{""Europe"":99,""North America"":95}",3,"{""North America"":3}",404,"{""Europe"":252,""North America"":149,""South America"":3}",0,{},4,"{""North America"":4}",0,{},40,"{""North America"":40}",0,{},1,"{""Europe"":1}",1699,"{""Europe"":1591,""North America"":97,""Asia"":11}",0,{},0,{},4,"{""North America"":4}",0,{},162,"{""Europe"":140,""North America"":22}",0,{},141,"{""Europe"":141}",1092,"{""Europe"":847,""North America"":243,""Asia"":1,""Oceania"":1}",4,"{""North America"":4}",0,{},958,"{""Europe"":680,""North America"":273,""Asia"":5}",0,{},35,"{""Europe"":26,""North America"":9}",0,{},0,{},0,{},19,"{""North America"":18,""Europe"":1}"
1920s,8299,0,{},0,{},58,"{""Europe"":34,""North America"":24}",0,{},0,{},900,"{""Europe"":705,""North America"":195}",2,"{""Europe"":1,""North America"":1}",470,"{""Europe"":302,""North America"":163,""South America"":5}",0,{},18,"{""North America"":11,""Europe"":6,""Oceania"":1}",0,{},64,"{""North America"":64}",0,{},0,{},3436,"{""Europe"":3221,""North America"":190,""Asia"":25}",0,{},0,{},224,"{""North America"":222,""Europe"":2}",1,"{""Europe"":1}",145,"{""Europe"":81,""North America"":64}",0,{},53,"{""Europe"":48,""South America"":5}",1395,"{""Europe"":1035,""North America"":349,""South America"":10,""Asia"":1}",1,"{""Europe"":1}",0,{},1490,"{""Europe"":1004,""North America"":479,""South America"":5,""Asia"":2}",1,"{""Europe"":1}",41,"{""Europe"":22,""North America"":19}",0,{},0,{},0,{},0,{}
