decade,all_artist_num,Male_total,Male_nationalities,Female_total,Female_nationalities
1730s,1,1,"{""British"":1}",0,{}
1740s,1,1,"{""Spanish"":1}",0,{}
1750s,1,1,"{""British"":1}",0,{}
1760s,0,0,{},0,{}
1770s,1,1,"{""American"":1}",0,{}
1780s,4,4,"{""French"":2,""Austrian"":1,""German"":1}",0,{}
1790s,10,9,"{""French"":5,""Austrian"":2,""American"":1,""British"":1}",1,"{""British"":1}"
1800s,18,18,"{""French"":11,""British"":6,""German"":1}",0,{}
1810s,48,47,"{""French"":22,""British"":16,""American"":3,""Austrian"":2,""Italian"":2,""Irish"":1,""Scottish"":1}",1,"{""British"":1}"
1820s,52,51,"{""French"":22,""British"":12,""American"":11,""Italian"":2,""Austrian"":1,""Canadian"":1,""Dutch"":1,""German"":1}",1,"{""British"":1}"
1830s,48,46,"{""French"":19,""American"":10,""British"":10,""German"":2,""Austrian"":1,""Canadian"":1,""Italian"":1,""Norwegian"":1,""Turkish"":1}",2,"{""American"":2}"
1840s,62,60,"{""French"":25,""American"":19,""German"":6,""Austrian"":5,""Belgian"":1,""British"":1,""Canadian"":1,""Dutch"":1,""Swiss"":1}",2,"{""American"":1,""French"":1}"
1850s,88,85,"{""French"":37,""American"":27,""British"":6,""German"":4,""Italian"":3,""Dutch"":2,""Mexican"":2,""Belgian"":1,""Russian"":1,""Spanish"":1,""Swiss"":1}",3,"{""American"":2,""Swiss"":1}"
1860s,195,183,"{""French"":64,""American"":47,""German"":18,""British"":16,""Austrian"":9,""Belgian"":9,""Russian"":5,""Swiss"":3,""Dutch"":2,""Italian"":2,""Norwegian"":2,""Brazilian"":1,""Czech"":1,""Finnish"":1,""Irish"":1,""Polish"":1,""Uruguayan"":1}",12,"{""American"":6,""French"":4,""British"":1,""German"":1}"
1870s,252,227,"{""American"":65,""French"":47,""German"":37,""Austrian"":15,""British"":15,""Swiss"":10,""Russian"":7,""Italian"":5,""Belgian"":3,""Czech"":3,""Dutch"":3,""Spanish"":3,""Danish"":2,""Mexican"":2,""Swedish"":2,""Canadian"":1,""Chilean"":1,""Finnish"":1,""Hungarian"":1,""Japanese"":1,""Peruvian"":1,""Romanian"":1,""Uruguayan"":1}",25,"{""American"":10,""German"":6,""British"":4,""French"":4,""Austrian"":1}"
