Name,Nationality,Continent,Rank,Count
Anri Sala,Albanian,Europe,1,5
Adrian Paci,Albanian,Europe,2,3
Bujar Alimani,Albanian,Europe,3,1
Edi Rama,Albanian,Europe,4,1
El Hadi Jazairy,Algerian,Africa,1,4
M. Fiorini,Algerian,Africa,2,2
Neïl Beloufa,Algerian,Africa,3,2
Djamila Sahraoui,Algerian,Africa,4,1
Lyès Salem,Algerian,Africa,5,1
Ludwig Mies van der Rohe,American,North America,1,654
Louise Bourgeois,American,North America,2,504
George Maciunas,American,North America,3,493
Lee Friedlander,American,North America,4,411
Jim Dine,American,North America,5,372
Frank Lloyd Wright,American,North America,6,371
Ben Kinmont,American,North America,7,328
Sol LeWitt,American,North America,8,324
Raymond Pettibon,American,North America,9,298
Robert Rauschenberg,American,North America,10,293
León Ferrari,Argentine,South America,1,40
Libero Badii,Argentine,South America,2,33
Luis Seoane,Argentine,South America,3,31
Flora Manteola,Argentine,South America,4,19
Javier Sánchez Gómez,Argentine,South America,5,19
Justo Solsona,Argentine,South America,6,19
Josefa Santos,Argentine,South America,7,18
Antonio Segui,Argentine,South America,8,16
Emilio Ambasz,Argentine,South America,9,13
Guillermo Kuitca,Argentine,South America,10,13
Sidney Nolan,Australian,Oceania,1,58
Richard Bosman,Australian,Oceania,2,45
Fred Williams,Australian,Oceania,3,14
Tracey Moffatt,Australian,Oceania,4,12
Denise Green,Australian,Oceania,5,5
Richard Tipping,Australian,Oceania,6,5
Marc Newson,Australian,Oceania,7,4
Clement Meadmore,Australian,Oceania,8,3
Colin Lanceley,Australian,Oceania,9,3
James Gleeson,Australian,Oceania,10,3
Oskar Kokoschka,Austrian,Europe,1,130
VALIE EXPORT,Austrian,Europe,2,49
Alfred Kubin,Austrian,Europe,3,47
Günter Brus,Austrian,Europe,4,41
Franz West,Austrian,Europe,5,26
Arnulf Rainer,Austrian,Europe,6,24
Egon Schiele,Austrian,Europe,7,19
Ingrid Wiener,Austrian,Europe,8,18
Josef Hoffmann,Austrian,Europe,9,14
Walter Pichler,Austrian,Europe,10,13
Zeigam Azizov,Azerbaijani,Europe,1,1
Janine Antoni,Bahamian,North America,1,3
Naeem Mohaiemen,Bangladeshi,Asia,1,2
Pierre Alechinsky,Belgian,Europe,1,397
Frans Masereel,Belgian,Europe,2,195
James Ensor,Belgian,Europe,3,106
Marcel Broodthaers,Belgian,Europe,4,74
Edgard Tytgat,Belgian,Europe,5,43
Pol Bury,Belgian,Europe,6,35
Raoul Ubac,Belgian,Europe,7,33
Francis Alÿs,Belgian,Europe,8,23
Luc Tuymans,Belgian,Europe,9,18
Paul Delvaux,Belgian,Europe,10,18
Romuald Hazoumè,Beninese,Africa,1,3
Alfredo da Silva,Bolivian,South America,1,2
Alejandro Mario Yllanes,Bolivian,South America,2,1
Roberto Berdecio,Bolivian,South America,3,1
Zlatko Ugljen,Bosnian,Europe,1,4
Braco Dimitrijević,Bosnian,Europe,2,2
Ivan Štraus,Bosnian,Europe,3,2
Fehim Demir/Agence France-Presse,Bosnian,Europe,4,1
Jasmila Žbanić,Bosnian,Europe,5,1
Sejla Kameric,Bosnian,Europe,6,1
Vlada Petric,Bosnian,Europe,7,1
Carybé (Hector Bernabó),Brazilian,South America,1,47
Vik Muniz,Brazilian,South America,2,32
Mauro Restiffe,Brazilian,South America,3,21
Almir Mavignier,Brazilian,South America,4,18
Lygia Clark,Brazilian,South America,5,18
Mira Schendel,Brazilian,South America,6,17
Lasar Segall,Brazilian,South America,7,15
Hélio Oiticica,Brazilian,South America,8,14
Maria Martins,Brazilian,South America,9,14
Oscar Niemeyer,Brazilian,South America,10,13
Thomas Bewick,British,Europe,1,324
John Thomson,British,Europe,2,237
David Hockney,British,Europe,3,214
Eduardo Paolozzi,British,Europe,4,170
Francis Frith,British,Europe,5,152
Alfred Capel Cure,British,Europe,6,141
Henry Moore,British,Europe,7,111
Edward Burne-Jones,British,Europe,8,89
Bruce McLean,British,Europe,9,77
Bill Brandt,British,Europe,10,76
Nedko Solakov,Bulgarian,Europe,1,6
Nikolay Diulgheroff,Bulgarian,Europe,2,1
Sanlé Sory,Burkinabe,Africa,1,8
Nhem Ein,Cambodian,Asia,1,6
Barthelemy Toguo,Cameroonian,Africa,1,13
General Idea,Canadian,North America,1,104
Steve Reinke,Canadian,North America,2,100
Rodney Graham,Canadian,North America,3,57
Rolf Harder,Canadian,North America,4,50
Roloff Beny,Canadian,North America,5,23
Alexander Henderson,Canadian,North America,6,17
Sara Cwynar,Canadian,North America,7,16
Geoffrey James,Canadian,North America,8,15
Jon Pylypchuk,Canadian,North America,9,14
Marcel Dzama,Canadian,North America,10,12
Akesuk Tudlik,Canadian Inuit,North America,1,3
Iyola,Canadian Inuit,North America,2,2
Parr,Canadian Inuit,North America,3,2
Roberto Matta,Chilean,South America,1,205
Enrique Zañartu,Chilean,South America,2,26
Julio Palazuelos,Chilean,South America,3,25
Salvador Bru,Chilean,South America,4,20
Juan Downey,Chilean,South America,5,14
Nemesio Antúnez,Chilean,South America,6,14
Sergio Gonzalez-Tornero,Chilean,South America,7,10
