Name,Nationality,Continent,Rank,Count
Alfredo Jaar,Chilean,South America,8,6
Paz Errázuriz,Chilean,South America,9,6
Sandra Vásquez de la Horra,Chilean,South America,10,6
Paul Chan,Chinese,Asia,1,19
Hong Hao,Chinese,Asia,2,15
Fang Lijun,Chinese,Asia,3,14
Qiu Anxiong,Chinese,Asia,4,14
Xu Bing,Chinese,Asia,5,14
Ai Weiwei,Chinese,Asia,6,13
Song Dong,Chinese,Asia,7,11
Leng Lin,Chinese,Asia,8,9
Liu Jianhua,Chinese,Asia,9,9
Xiao Yu,Chinese,Asia,10,9
José Antonio Suárez Londoño,Colombian,South America,1,236
Omar Rayo,Colombian,South America,2,53
Nicolás Paris,Colombian,South America,3,32
Leonel Gongora,Colombian,South America,4,29
Álvaro Barrios,Colombian,South America,5,25
Beatriz González,Colombian,South America,6,20
Mateo López,Colombian,South America,7,10
Leo Matiz,Colombian,South America,8,6
Raimond Chaves,Colombian,South America,9,5
Rosemberg Sandoval,Colombian,South America,10,5
Jean Depara,Congolese,Africa,1,9
Bodys Isek Kingelez,Congolese,Africa,2,3
Chéri Samba,Congolese,Africa,3,3
"Ambroise Ngaimoko, Studio 3Z",Congolese,Africa,4,2
Christian Belpaire,Congolese,Africa,5,2
Moke,Congolese,Africa,6,2
Max Jiménez,Costa Rican,North America,1,62
Francisco Amighetti Ruiz,Costa Rican,North America,2,2
Boris Bućan,Croatian,Europe,1,22
Sanja Iveković,Croatian,Europe,2,17
Ivan Picelj,Croatian,Europe,3,12
Mangelos (Dimitrije Bašičević),Croatian,Europe,4,10
Josip Vaništa,Croatian,Europe,5,8
Tomislav Gotovac,Croatian,Europe,6,5
David Maljković,Croatian,Europe,7,4
Dalibor Martinis,Croatian,Europe,8,2
Ivan Kožarić,Croatian,Europe,9,2
Radovan Sredić,Croatian,Europe,10,2
Wifredo Lam,Cuban,North America,1,18
Antonio Fernandez Reboiro,Cuban,North America,2,14
Agustín Fernández,Cuban,North America,3,10
Marco Castillo,Cuban,North America,4,8
Dagoberto Rodriguez,Cuban,North America,5,7
Carmen Herrera,Cuban,North America,6,5
Alexandre Arrechea,Cuban,North America,7,4
Alfredo Rostgaard,Cuban,North America,8,4
Felix Beltran,Cuban,North America,9,4
Amelia Peláez Del Casal,Cuban,North America,10,3
Michael Anastassiades,Cypriot,Europe,1,1
František Kupka,Czech,Europe,1,173
Milan Knížák,Czech,Europe,2,127
Zdeněk Rossmann,Czech,Europe,3,48
Augustin Tschinkel,Czech,Europe,4,29
František Kalivoda,Czech,Europe,5,21
Jirí Balcar,Czech,Europe,6,21
Josef Koudelka,Czech,Europe,7,15
Karel Teige,Czech,Europe,8,7
Alphonse Mucha,Czech,Europe,9,6
Jindrich Streit,Czech,Europe,10,6
Petr Tučný,Czechoslovakian,Europe,1,1
Asger Jorn,Danish,Europe,1,38
Per Kirkeby,Danish,Europe,2,32
Troels Wörsel,Danish,Europe,3,30
Axel Salto,Danish,Europe,4,28
Ulrik Heltoft,Danish,Europe,5,25
Eric Andersen,Danish,Europe,6,16
Jacob Jensen,Danish,Europe,7,14
Richard Mortensen,Danish,Europe,8,14
Arne Jacobsen,Danish,Europe,9,12
Henning Christiansen,Danish,Europe,10,11
Rudy VanderLans,Dutch,Europe,1,70
Piet Zwart,Dutch,Europe,2,56
Fré Cohen,Dutch,Europe,3,48
Irma Boom,Dutch,Europe,4,43
Jan Dibbets,Dutch,Europe,5,40
Theo van Doesburg,Dutch,Europe,6,34
Willem Jacob Henri Berend Sandberg,Dutch,Europe,7,33
Paul Schuitema,Dutch,Europe,8,31
Stanley Brouwn,Dutch,Europe,9,27
Diederick Van Kleef,Dutch,Europe,10,24
Galo Galecio,Ecuadorian,South America,1,3
Peter Mussfeldt,Ecuadorian,South America,2,2
Diógenes Paredes,Ecuadorian,South America,3,1
Oswaldo Guayasamín,Ecuadorian,South America,4,1
Wael Shawky,Egyptian,Africa,1,16
Basim Magdy,Egyptian,Africa,2,5
Ecke Bonk,Egyptian,Africa,3,3
Iman Issa,Egyptian,Africa,4,3
Karim Rashid,Egyptian,Africa,5,1
Mohammad Shawky Hassan,Egyptian,Africa,6,1
Farah Al Qasimi,Emirati,Asia,1,5
Jüri Arrak,Estonian,Europe,1,1
Skunder (Skunder Boghossian),Ethiopian,Africa,1,1
Lav Diaz,Filipino,Asia,1,4
David Medalla,Filipino,Asia,2,1
Alvar Aalto,Finnish,Europe,1,26
Riiko Sakkinen,Finnish,Europe,2,18
Kaj Franck,Finnish,Europe,3,12
Timo Sarpaneva,Finnish,Europe,4,11
Tapio Wirkkala,Finnish,Europe,5,9
Caroline Slotte,Finnish,Europe,6,6
Saara Hopea,Finnish,Europe,7,6
Antti Nurmesniemi,Finnish,Europe,8,3
Göran Hongell,Finnish,Europe,9,3
Tom of Finland,Finnish,Europe,10,3
Eugène Atget,French,Europe,1,2725
Jean Dubuffet,French,Europe,2,987
Henri Matisse,French,Europe,3,979
Marc Chagall,French,Europe,4,972
Pierre Bonnard,French,Europe,5,902
Émile Bernard,French,Europe,6,628
Georges Rouault,French,Europe,7,590
André Derain,French,Europe,8,557
Raoul Dufy,French,Europe,9,527
Maurice Denis,French,Europe,10,494
Andro Wekua,Georgian,Europe,1,6
Lado Gudiashvili,Georgian,Europe,2,3
Iraklii Gamrekeli,Georgian,Europe,3,1
Lana Gogoberidze,Georgian,Europe,4,1
Thea Djordjadze,Georgian,Europe,5,1
August Sander,German,Europe,1,553
Martin Kippenberger,German,Europe,2,217
Max Beckmann,German,Europe,3,208
Thomas Schütte,German,Europe,4,202
Lovis Corinth,German,Europe,5,172
Ernst Ludwig Kirchner,German,Europe,6,162
Michael Schmidt,German,Europe,7,160
Kurt Schwitters,German,Europe,8,150
Paul Klee,German,Europe,9,141
Franz Erhard Walther,German,Europe,10,116
El Anatsui,Ghanaian,Africa,1,3
Jannis Kounellis,Greek,Europe,1,7
Nikos Hadjikyriakos-Ghika,Greek,Europe,2,2
Pavlos,Greek,Europe,3,2
Constantine Manos,Greek,Europe,4,1
Michail Bletsas,Greek,Europe,5,1
Nelly (Elli Sougioultzoglou-Seraidari),Greek,Europe,6,1
Takis Marthas,Greek,Europe,7,1
Théo Angelopoulos,Greek,Europe,8,1
Carlos Mérida,Guatemalan,North America,1,23
Rodolfo Abularach,Guatemalan,North America,2,8
Regina José Galindo,Guatemalan,North America,3,2
Roberto González Goyri,Guatemalan,North America,4,1
Roberto Ossaye,Guatemalan,North America,5,1
Rodolfo (Rodolfo Mishaan Pinto) Mishaan,Guatemalan,North America,6,1
Frank Bowling,Guyanese,South America,1,1
Castera Bazile,Haitian,North America,1,1
Enguérrand Gourgue,Haitian,North America,2,1
Georges Liautaud,Haitian,North America,3,1
Hervé Télémaque,Haitian,North America,4,1
Philomé Obin,Haitian,North America,5,1
René Vincent,Haitian,North America,6,1
Roland Dorcély,Haitian,North America,7,1
Wilson Bigaud,Haitian,North America,8,1
János Kender,Hungarian,Europe,1,37
Sándor (Alexander) Bortnyik,Hungarian,Europe,2,12
Lucien Hervé,Hungarian,Europe,3,11
Péter Forgács,Hungarian,Europe,4,11
Dóra Maurer,Hungarian,Europe,5,10
Katalin Ladik,Hungarian,Europe,6,8
Lajos Kassák,Hungarian,Europe,7,7
András Wahorn,Hungarian,Europe,8,5
Rogi André (Rozsa Klein),Hungarian,Europe,9,5
Mihály Biró,Hungarian,Europe,10,4
Steina,Icelandic,Europe,1,24
Olafur Eliasson,Icelandic,Europe,2,9
Ragnar Kjartansson,Icelandic,Europe,3,3
Svavar Gudnason,Icelandic,Europe,4,3
Björk,Icelandic,Europe,5,2
Erró (Gudmundur Gudmundsson),Icelandic,Europe,6,2
Jóhannes Sveinsson Kjarval,Icelandic,Europe,7,1
Nina Tryggvadottir,Icelandic,Europe,8,1
Sjón (Sigurjón Birgir Sigurðsson),Icelandic,Europe,9,1
Ranjani Shettar,Indian,Asia,1,18
Gauri Gill,Indian,Asia,2,11
Nalini Malani,Indian,Asia,3,11
Ketaki Sheth,Indian,Asia,4,9
Acharya Vyakul,Indian,Asia,5,4
Raj Rewal,Indian,Asia,6,4
Dayanita Singh,Indian,Asia,7,3
Raghu Rai,Indian,Asia,8,3
Ram Rahman,Indian,Asia,9,3
Jyoti Bhatt,Indian,Asia,10,2
Tala Madani,Iranian,Asia,1,5
Farshid Moussavi,Iranian,Asia,2,3
Mehrdad Yazdani,Iranian,Asia,3,2
Shirin Neshat,Iranian,Asia,4,2
Charles Hossein Zenderoudi,Iranian,Asia,5,1
Faramarz Pilaram,Iranian,Asia,6,1
Mani Haghighi,Iranian,Asia,7,1
Natascha Sadr Haghighian,Iranian,Asia,8,1
Fergus Bourke,Irish,Europe,1,3
George Reavey,Irish,Europe,2,3
Roderic O'Conor,Irish,Europe,3,2
Stefana McClure,Irish,Europe,4,2
Clegg and Guttmann,Irish,Europe,5,1
Ian Stuart,Irish,Europe,6,1
John Gerrard,Irish,Europe,7,1
John Shaw Smith,Irish,Europe,8,1
Malachi Farrell,Irish,Europe,9,1
Mark McKeague,Irish,Europe,10,1
Bezalel Schatz,Israeli,Asia,1,47
Zwi Milshtein,Israeli,Asia,2,29
William Brui,Israeli,Asia,3,25
Reuven Rubin,Israeli,Asia,4,15
Marcel Janco,Israeli,Asia,5,11
Elad Lassry,Israeli,Asia,6,8
Grete Wolf-Krakauer,Israeli,Asia,7,7
Jakob Steinhardt,Israeli,Asia,8,7
Micha Bar-Am,Israeli,Asia,9,6
Jacob El Hanani,Israeli,Asia,10,4
Giorgio de Chirico,Italian,Europe,1,111
Alighiero Boetti,Italian,Europe,2,102
Felice Beato,Italian,Europe,3,91
Francesco Clemente,Italian,Europe,4,75
Enrico Baj,Italian,Europe,5,56
A. G. Fronzoni,Italian,Europe,6,55
Giorgia Lupi,Italian,Europe,7,53
Massimo Vignelli,Italian,Europe,8,50
Lauretta Vinciarelli,Italian,Europe,9,43
Cesare Peverelli,Italian,Europe,10,34
Frédéric Bruly Bouabré,Ivorian,Africa,1,481
Yoshitomo Nara,Japanese,Asia,1,145
Masuo Ikeda,Japanese,Asia,2,90
Tadanori Yokoo,Japanese,Asia,3,83
Yutaka Matsuzawa,Japanese,Asia,4,79
Mieko Shiomi,Japanese,Asia,5,73
Ay-O,Japanese,Asia,6,43
Madoka Takagi,Japanese,Asia,7,39
Shomei Tomatsu,Japanese,Asia,8,29
Shigeko Kubota,Japanese,Asia,9,26
Koichi Sato,Japanese,Asia,10,21
Bakhtyar Khudojnazarov,Kazakhstani,Europe,1,1
Wangechi Mutu,Kenyan,Africa,1,3
Christopher Zalla,Kenyan,Africa,2,1
Kim Beom,Korean,Asia,1,12
Haegue Yang,Korean,Asia,2,8
Moon Hoon,Korean,Asia,3,6
SEO (Seo Soo-Kyoung),Korean,Asia,4,6
Do Ho Suh,Korean,Asia,5,5
Lee Ufan,Korean,Asia,6,4
Hong Sang-soo,Korean,Asia,7,3
Joong Seop Lee,Korean,Asia,8,3
Koo Jeong-a,Korean,Asia,9,3
Jay Kyu Lee,Korean,Asia,10,2
Munira Al-Kazi,Kuwaiti,Asia,1,1
Gustav Klutsis,Latvian,Europe,1,61
Walter Zapp,Latvian,Europe,2,1
Walid Raad,Lebanese,Asia,1,11
Akram Zaatari,Lebanese,Asia,2,6
Rania Ghosn,Lebanese,Asia,3,4
Rabih Mroué,Lebanese,Asia,4,3
Saloua Raouda Choucair,Lebanese,Asia,5,2
Ayah Bdeir,Lebanese,Asia,6,1
Salim Al-Kadi,Lebanese,Asia,7,1
Algirdas Šeškus,Lithuanian,Europe,1,8
Jonas Mekas,Lithuanian,Europe,2,5
Deimantas Narkevicius,Lithuanian,Europe,3,2
Leon Krier,Luxembourgish,Europe,1,10
Paul Kirps,Luxembourgish,Europe,2,2
Romain Urhausen,Luxembourgish,Europe,3,1
Janko Konstantinov,Macedonian,Europe,1,3
Georgi Konstantinovski,Macedonian,Europe,2,2
Iskra Grabulovski,Macedonian,Europe,3,1
Jordan Grabulovski,Macedonian,Europe,4,1
Teona Strugar Mitevska,Macedonian,Europe,5,1
Simryn Gill,Malaysian,Asia,1,3
Hoy Cheong,Malaysian,Asia,2,1
Tsai Ming-liang,Malaysian,Asia,3,1
Malick Sidibé,Malian,Africa,1,6
Seydou Keïta,Malian,Africa,2,1
José-Guadalupe Posada,Mexican,North America,1,139
Leopoldo Méndez,Mexican,North America,2,102
José Luis Cuevas,Mexican,North America,3,76
Alfredo Zalce,Mexican,North America,4,63
Rufino Tamayo,Mexican,North America,5,63
Manuel Álvarez Bravo,Mexican,North America,6,47
Diego Rivera,Mexican,North America,7,44
José Chávez Morado,Mexican,North America,8,34
José Clemente Orozco,Mexican,North America,9,34
Eduardo Terrazas,Mexican,North America,10,33
Yto Barrada,Moroccan,Africa,1,9
Bouchra Khalili,Moroccan,Africa,2,2
Ahmed Yacoubi,Moroccan,Africa,3,1
Mohamed Melehi,Moroccan,Africa,4,1
William N. Touzani,Moroccan,Africa,5,1
John Muafangejo,Namibian,Africa,1,1
"Victor Masayesva, Jr.",Native American,North America,1,2
Cara Romero,Native American,North America,2,1
Hulleah J. Tsinhnahjinnie,Native American,North America,3,1
Simon Denny,New Zealander,Oceania,1,4
Dean Edgington,New Zealander,Oceania,2,1
Michael Stevenson,New Zealander,Oceania,3,1
Murray Broom,New Zealander,Oceania,4,1
Peter Jackson,New Zealander,Oceania,5,1
Reginald Orton,New Zealander,Oceania,6,1
Vernon Pascoe,New Zealander,Oceania,7,1
Armando Morales Sequeira,Nicaraguan,North America,1,1
Uche Okeke,Nigerian,Africa,1,6
J.D. 'Okhai Ojeikere,Nigerian,Africa,2,3
Ghariokwu Lemi,Nigerian,Africa,3,1
Edvard Munch,Norwegian,Europe,1,67
Rolf Nesch,Norwegian,Europe,2,9
Torbjørn Rødland,Norwegian,Europe,3,3
Vibeke Tandberg,Norwegian,Europe,4,3
Einar Hareide,Norwegian,Europe,5,2
Olav Christopher Jenssen,Norwegian,Europe,6,2
Aleksander Borgenhov,Norwegian,Europe,7,1
Christian Leborg,Norwegian,Europe,8,1
Dag Alveng,Norwegian,Europe,9,1
Gardar Eide Einarsson,Norwegian,Europe,10,1
Shahzia Sikander,Pakistani,Asia,1,18
Bani Abidi,Pakistani,Asia,2,14
Seher Shah,Pakistani,Asia,3,2
Rasheed Araeen,Pakistani,Asia,4,1
Basel Abbas,Palestinian,Asia,1,6
Ruanne Abou-Rahme,Palestinian,Asia,2,6
Elia Suleiman,Palestinian,Asia,3,1
Jumana Manna,Palestinian,Asia,4,1
Alberto Dutary,Panamanian,North America,1,2
Julio Augusto Zachrisson,Panamanian,North America,2,2
Fernando Grillón,Paraguayan,South America,1,2
Martín Chambi,Peruvian,South America,1,30
Armando Andrade Tudela,Peruvian,South America,2,3
Edi Hirose,Peruvian,South America,3,3
Gilda Mantilla,Peruvian,South America,4,3
Fernando Bryce,Peruvian,South America,5,2
Fernando Szyszlo,Peruvian,South America,6,2
Frederick Cooper Llosa,Peruvian,South America,7,2
José Sabogal,Peruvian,South America,8,2
Miguel Rodrigo Mazuré,Peruvian,South America,9,2
Sandra Gamarra,Peruvian,South America,10,2
Louis Marcoussis,Polish,Europe,1,46
Franciszek Starowieyski,Polish,Europe,2,38
Jan Lenica,Polish,Europe,3,20
Wladyslaw Strzemiński,Polish,Europe,4,12
Edward Krasiński,Polish,Europe,5,10
Henryk Tomaszewski,Polish,Europe,6,10
Jan Sawka,Polish,Europe,7,10
Paulina Olowska,Polish,Europe,8,10
Henryk Berlewi,Polish,Europe,9,8
Andrzej Pagowski,Polish,Europe,10,7
René Bertholo,Portuguese,Europe,1,6
Álvaro Siza,Portuguese,Europe,2,5
Julião Sarmento,Portuguese,Europe,3,3
Susana Soares,Portuguese,Europe,4,3
Fernando Guerra,Portuguese,Europe,5,2
Pedro Costa,Portuguese,Europe,6,2
Carlos Bunga,Portuguese,Europe,7,1
João Bizarro Da Nave Filho,Portuguese,Europe,8,1
Miguel Gomes,Portuguese,Europe,9,1
Victor Brauner,Romanian,Europe,1,11
Geta Brătescu,Romanian,Europe,2,9
Pic Adrian,Romanian,Europe,3,7
Avigdor Arikha,Romanian,Europe,4,4
Dan Perjovschi,Romanian,Europe,5,3
Ion Grigorescu,Romanian,Europe,6,3
Adrian Ghenie,Romanian,Europe,7,2
Ion Bitzan,Romanian,Europe,8,2
Marcel Chirnoaga,Romanian,Europe,9,2
Mircea Cantor,Romanian,Europe,10,2
Aleksandr Rodchenko,Russian,Europe,1,178
Olga Rozanova,Russian,Europe,2,161
Natalia Goncharova,Russian,Europe,3,138
Anatoli Lvovich Kaplan,Russian,Europe,4,120
El Lissitzky,Russian,Europe,5,106
Kazimir Malevich,Russian,Europe,6,83
Mikhail Larionov,Russian,Europe,7,69
Aleksei Kruchenykh,Russian,Europe,8,48
Varvara Stepanova,Russian,Europe,9,44
Nikolai Kul'bin,Russian,Europe,10,35
Guadalupe Maravilla,Salvadoran,North America,1,2
Douglas Gordon,Scottish,Europe,1,20
Jim Lambie,Scottish,Europe,2,5
Donald Urquhart,Scottish,Europe,3,3
Martin Boyce,Scottish,Europe,4,2
Sally Osborn,Scottish,Europe,5,2
Armando Iannucci,Scottish,Europe,6,1
Elsa Stansfield,Scottish,Europe,7,1
Geoffrey Mann,Scottish,Europe,8,1
Hayley Tompkins,Scottish,Europe,9,1
Hill Jephson Robb,Scottish,Europe,10,1
Moustapha Dimé,Senegalese,Africa,1,1
Ousmane Sembène,Senegalese,Africa,2,1
Dargoljub Pavlov,Serbian,Europe,1,8
Bogdan Bogdanović,Serbian,Europe,2,3
Aleksandar Stjepanović,Serbian,Europe,3,2
Božidar Janković,Serbian,Europe,4,2
Branislav Karadžić,Serbian,Europe,5,2
Darko Marušić,Serbian,Europe,6,1
Dejan Grba,Serbian,Europe,7,1
Goran Paskaljević,Serbian,Europe,8,1
Milenija Marušić,Serbian,Europe,9,1
Vladan Joler,Serbian,Europe,10,1
Abu Bakarr Mansaray,Sierra Leonean,Africa,1,1
Ming Wong,Singaporean,Asia,1,1
Zuzana Licko,Slovak,Europe,1,70
Roman Ondak,Slovak,Europe,2,2
Julius Koller,Slovak,Europe,3,1
Tomáš Gabzdil Libertíny,Slovak,Europe,4,1
Zoran Mušič,Slovenian,Europe,1,8
Marko Mušič,Slovenian,Europe,2,2
Marko Turk,Slovenian,Europe,3,2
Niko Kralj,Slovenian,Europe,4,2
Tobias Putrih,Slovenian,Europe,5,2
Davorin Savnik,Slovenian,Europe,6,1
Marjetica Potrč,Slovenian,Europe,7,1
William Kentridge,South African,Africa,1,77
David Goldblatt,South African,Africa,2,48
Diane Victor,South African,Africa,3,18
Marlene Dumas,South African,Africa,4,16
Claudette Schreuders,South African,Africa,5,11
Mikhael Subotzky,South African,Africa,6,8
Guy Tillim,South African,Africa,7,7
Norman Catherine,South African,Africa,8,6
Vuyile Voyiya,South African,Africa,9,6
Zanele Muholi,South African,Africa,10,6
Pablo Picasso,Spanish,Europe,1,1132
Joan Miró,Spanish,Europe,2,429
Francisco de Goya,Spanish,Europe,3,180
Antoni Tàpies,Spanish,Europe,4,161
Antonio Saura,Spanish,Europe,5,116
Salvador Dalí,Spanish,Europe,6,82
Juan Gris,Spanish,Europe,7,55
Juan Hidalgo,Spanish,Europe,8,54
Rafael Canogar,Spanish,Europe,9,30
Eduardo Chillida,Spanish,Europe,10,29
Ibrahim El-Salahi,Sudanese,Africa,1,9
Öyvind Fahlström,Swedish,Europe,1,23
Peter Freudenthal,Swedish,Europe,2,18
Birgit Skiöld,Swedish,Europe,3,10
Sven-Eric Juhlin,Swedish,Europe,4,10
Maria Benktzon,Swedish,Europe,5,9
Jockum Nordström,Swedish,Europe,6,7
Erik Gunnar Asplund,Swedish,Europe,7,6
Bruno Mathsson,Swedish,Europe,8,5
Jan Forsberg,Swedish,Europe,9,5
Klara Liden,Swedish,Europe,10,5
Dieter Roth,Swiss,Europe,1,143
Roman Signer,Swiss,Europe,2,98
Alberto Giacometti,Swiss,Europe,3,95
Hans Erni,Swiss,Europe,4,81
Gottfried Honegger,Swiss,Europe,5,45
Bernhard Luginbühl,Swiss,Europe,6,39
Max Bill,Swiss,Europe,7,39
Daniel Spoerri,Swiss,Europe,8,34
Thomas Hirschhorn,Swiss,Europe,9,33
Jan Tschichold,Swiss,Europe,10,31
Charlene Liu,Taiwanese,Asia,1,2
Li-Fa Shaih,Taiwanese,Asia,2,1
Shu Lea Cheang,Taiwanese,Asia,3,1
Sam Joseph Ntiro,Tanzanian,Africa,1,1
Rirkrit Tiravanija,Thai,Asia,1,25
Apichatpong Weerasethakul,Thai,Asia,2,5
Navin Rawanchaikul,Thai,Asia,3,1
Hüseyin Bahri Alptekin,Turkish,Asia,1,8
Burhan Dogancay,Turkish,Asia,2,3
Aslı Çavuşoğlu,Turkish,Asia,3,2
Halil Altindere,Turkish,Asia,4,2
Ali Gedik,Turkish,Asia,5,1
Ayse Birsel,Turkish,Asia,6,1
Bedri Rahmi,Turkish,Asia,7,1
Cengiz Çekil,Turkish,Asia,8,1
Erol (Erol Akyavas),Turkish,Asia,9,1
Fatih Aydogdu,Turkish,Asia,10,1
Kanuge John Bosco,Ugandan,Africa,1,1
David Burliuk,Ukrainian,Europe,1,24
Vladimir Burliuk,Ukrainian,Europe,2,22
Anatol' Petryts'kyi,Ukrainian,Europe,3,6
Alexander Dovzhenko,Ukrainian,Europe,4,2
Peter Weibel,Ukrainian,Europe,5,2
Alexander Roitburd,Ukrainian,Europe,6,1
Boris Mikhailov,Ukrainian,Europe,7,1
Mane-Katz,Ukrainian,Europe,8,1
Mykhailo Semenko,Ukrainian,Europe,9,1
Vasyl Krychevsky,Ukrainian,Europe,10,1
Luis Camnitzer,Uruguayan,South America,1,39
Joaquín Torres-García,Uruguayan,South America,2,10
Marco Maggi,Uruguayan,South America,3,6
Luis Alberto Solari,Uruguayan,South America,4,3
Alejandro Cesarco,Uruguayan,South America,5,2
Gustavo Lazarini Terradas,Uruguayan,South America,6,2
Arturo Villaamil,Uruguayan,South America,7,1
Carmelo Arden Quin,Uruguayan,South America,8,1
Eladio Dieste,Uruguayan,South America,9,1
Enrique Aguerre,Uruguayan,South America,10,1
Gego (Gertrud Goldschmidt),Venezuelan,South America,1,33
Marisol (Marisol Escobar),Venezuelan,South America,2,26
Gerd Leufert,Venezuelan,South America,3,25
Alejandro Otero,Venezuelan,South America,4,24
Luisa Zuloaga de Palacios,Venezuelan,South America,5,14
Alfredo Cortina,Venezuelan,South America,6,13
Jesús Rafael Soto,Venezuelan,South America,7,11
Paolo Gasparini,Venezuelan,South America,8,10
Carlos Cruz-Diez,Venezuelan,South America,9,7
