ObjectID,Title,Artist,Date,Nationality,ThumbnailURL
91975,Coffee Pot and Lid,Josiah Wedgwood,1768,British,http://www.moma.org/media/W1siZiIsIjIyODgyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=76c95a56b3a8c651
2767,Partial Coffee and Tea Service,Josiah Wedgwood,1768,British,http://www.moma.org/media/W1siZiIsIjIyODgzMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2a35d13380e58edf
21068,Tailpiece (page 244) from The Fables of Aesop,Thomas Bewick,1818,British,http://www.moma.org/media/W1siZiIsIjE3OTQ3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=978630a506502389
21044,Headpiece (page 217) from The Fables of Aesop,Thomas Bewick,1818,British,http://www.moma.org/media/W1siZiIsIjE3OTQ1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0a84812ab46e4b59
21073,Tailpiece (page 250) from The Fables of Aesop,Thomas Bewick,1818,British,http://www.moma.org/media/W1siZiIsIjE3OTQ3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6946414fc83ea6bb
20945,Tailpiece (page 114) from The Fables of Aesop,Thomas Bewick,1818,British,http://www.moma.org/media/W1siZiIsIjE3NzI3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f41e20002d359772
21116,Tailpiece (page 304) from The Fables of Aesop,Thomas Bewick,1818,British,http://www.moma.org/media/W1siZiIsIjE4MDEwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=12de6b8b7f2ad645
21062,Tailpiece (page 236) from The Fables of Aesop,Thomas Bewick,1818,British,http://www.moma.org/media/W1siZiIsIjE3OTQ2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0b1a97288ae60428
21155,Headpiece (page 345) from The Fables of Aesop,Thomas Bewick,1818,British,http://www.moma.org/media/W1siZiIsIjE5MjgyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9615ae0b7a69c341
21132,Headpiece (page 321) from The Fables of Aesop,Thomas Bewick,1818,British,http://www.moma.org/media/W1siZiIsIjE4MDA3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f1e529bb0f29df1f
21202,Tailpiece (page 48) from The Fables of Aesop,Thomas Bewick,1818,British,http://www.moma.org/media/W1siZiIsIjE3NzIxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9a4526318bb50352
21080,Tailpiece (page 260) from The Fables of Aesop,Thomas Bewick,1818,British,http://www.moma.org/media/W1siZiIsIjE3OTQ4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=24d69691fb6643dc
21115,Tailpiece (page 24) from The Fables of Aesop,Thomas Bewick,1818,British,http://www.moma.org/media/W1siZiIsIjE3NzE5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2162d3ca99249ad8
21100,Tailpiece (page 286) from The Fables of Aesop,Thomas Bewick,1818,British,http://www.moma.org/media/W1siZiIsIjE3OTUwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3315a9ec5d3367ee
