Name,ConstituentID,Nationality,Continent,Rank,Count,Gender,BeginDate,EndDate,Plot_Path,Local_Image_Path
Rodney Graham,25983,Canadian,North America,3,57,Male,1949,0,Country_strip\Rodney Graham_25983.png,
Rolf Harder,32655,Canadian,North America,4,50,Male,1929,2013,Country_strip\Rolf Harder_32655.png,country_top10_artist_images/Rolf Harder.jpg
Roloff Beny,484,Canadian,North America,5,23,Male,1924,1984,Country_strip\Roloff Beny_484.png,country_top10_artist_images/Roloff Beny.jpg
Alexander Henderson,2590,Canadian,North America,6,17,Male,1831,1913,Country_strip\Alexander Henderson_2590.png,
Sara Cwynar,40166,Canadian,North America,7,16,Female,1985,0,Country_strip\Sara Cwynar_40166.png,
Geoffrey James,7160,Canadian,North America,8,15,Male,1942,0,Country_strip\Geoffrey James_7160.png,country_top10_artist_images/Geoffrey James.jpg
Jon Pylypchuk,28877,Canadian,North America,9,14,Male,1973,0,Country_strip\Jon Pylypchuk_28877.png,
Marcel Dzama,27712,Canadian,North America,10,12,Male,1974,0,Country_strip\Marcel Dzama_27712.png,country_top10_artist_images/Marcel Dzama.jpg
Akesuk Tudlik,5964,Canadian Inuit,North America,1,3,Male,1890,1966,Country_strip\Akesuk Tudlik_5964.png,
Iyola,2852,Canadian Inuit,North America,2,2,Male,1933,2000,Country_strip\Iyola_2852.png,
Parr,4505,Canadian Inuit,North America,3,2,Male,1893,1969,Country_strip\Parr_4505.png,country_top10_artist_images/Parr.jpg
Roberto Matta,3842,Chilean,South America,1,205,Male,1911,2002,Country_strip\Roberto Matta_3842.png,country_top10_artist_images/Roberto Matta.jpg
Enrique Zañartu,6541,Chilean,South America,2,26,Male,1921,2000,Country_strip\Enrique Zañartu_6541.png,
Julio Palazuelos,4473,Chilean,South America,3,25,Male,1931,2014,Country_strip\Julio Palazuelos_4473.png,
Salvador Bru,819,Chilean,South America,4,20,Male,1923,0,Country_strip\Salvador Bru_819.png,
Juan Downey,1606,Chilean,South America,5,14,Male,1940,1993,Country_strip\Juan Downey_1606.png,
Nemesio Antúnez,199,Chilean,South America,6,14,Male,1918,1993,Country_strip\Nemesio Antúnez_199.png,country_top10_artist_images/Nemesio Antúnez.jpg
Sergio Gonzalez-Tornero,2232,Chilean,South America,7,10,Male,1927,0,Country_strip\Sergio GonzalezTornero_2232.png,country_top10_artist_images/Sergio Gonzalez-Tornero.jpg
Alfredo Jaar,7477,Chilean,South America,8,6,Male,1956,0,Country_strip\Alfredo Jaar_7477.png,country_top10_artist_images/Alfredo Jaar.jpg
Paz Errázuriz,49166,Chilean,South America,9,6,Female,1941,0,Country_strip\Paz Errázuriz_49166.png,
Sandra Vásquez de la Horra,67675,Chilean,South America,10,6,Female,1967,0,Country_strip\Sandra Vásquez de la Horra_67675.png,
Paul Chan,26867,Chinese,Asia,1,19,Male,1973,0,Country_strip\Paul Chan_26867.png,country_top10_artist_images/Paul Chan.jpg
Hong Hao,26884,Chinese,Asia,2,15,Male,1965,0,Country_strip\Hong Hao_26884.png,country_top10_artist_images/Hong Hao.jpg
Fang Lijun,26839,Chinese,Asia,3,14,Male,1963,0,Country_strip\Fang Lijun_26839.png,
Qiu Anxiong,37946,Chinese,Asia,4,14,Male,1972,0,Country_strip\Qiu Anxiong_37946.png,
Xu Bing,29817,Chinese,Asia,5,14,Male,1955,0,Country_strip\Xu Bing_29817.png,country_top10_artist_images/Xu Bing.jpg
Ai Weiwei,34722,Chinese,Asia,6,13,Male,1957,0,Country_strip\Ai Weiwei_34722.png,country_top10_artist_images/Ai Weiwei.jpg
Song Dong,36892,Chinese,Asia,7,11,Male,1966,0,Country_strip\Song Dong_36892.png,country_top10_artist_images/Song Dong.jpg
Leng Lin,67453,Chinese,Asia,8,9,Male,1965,0,Country_strip\Leng Lin_67453.png,country_top10_artist_images/Leng Lin.jpg
Liu Jianhua,67452,Chinese,Asia,9,9,Male,1962,0,Country_strip\Liu Jianhua_67452.png,country_top10_artist_images/Liu Jianhua.jpg
Xiao Yu,67451,Chinese,Asia,10,9,Male,1965,0,Country_strip\Xiao Yu_67451.png,country_top10_artist_images/Xiao Yu.jpg
José Antonio Suárez Londoño,26770,Colombian,South America,1,236,Male,1955,0,Country_strip\José Antonio Suárez Londoño_26770.png,country_top10_artist_images/José Antonio Suárez Londoño.jpg
Omar Rayo,4831,Colombian,South America,2,53,Male,1928,2010,Country_strip\Omar Rayo_4831.png,country_top10_artist_images/Omar Rayo.jpg
Nicolás Paris,43702,Colombian,South America,3,32,Male,1977,0,Country_strip\Nicolás Paris_43702.png,
Leonel Gongora,2228,Colombian,South America,4,29,Male,1932,0,Country_strip\Leonel Gongora_2228.png,country_top10_artist_images/Leonel Gongora.jpg
Álvaro Barrios,26617,Colombian,South America,5,25,Male,1945,0,Country_strip\Álvaro Barrios_26617.png,
Beatriz González,36415,Colombian,South America,6,20,Female,1938,0,Country_strip\Beatriz González_36415.png,country_top10_artist_images/Beatriz González.jpg
Mateo López,38678,Colombian,South America,7,10,Male,1978,0,Country_strip\Mateo López_38678.png,country_top10_artist_images/Mateo López.jpg
Leo Matiz,33398,Colombian,South America,8,6,Male,1917,1998,Country_strip\Leo Matiz_33398.png,
Raimond Chaves,35080,Colombian,South America,9,5,Male,1963,0,Country_strip\Raimond Chaves_35080.png,country_top10_artist_images/Raimond Chaves.jpg
Rosemberg Sandoval,47554,Colombian,South America,10,5,Male,1959,0,Country_strip\Rosemberg Sandoval_47554.png,
Jean Depara,75463,Congolese,Africa,1,9,Male,1928,1997,Country_strip\Jean Depara_75463.png,
Bodys Isek Kingelez,68319,Congolese,Africa,2,3,Male,1948,2015,Country_strip\Bodys Isek Kingelez_68319.png,
Chéri Samba,25299,Congolese,Africa,3,3,Male,1956,0,Country_strip\Chéri Samba_25299.png,
"Ambroise Ngaimoko, Studio 3Z",75468,Congolese,Africa,4,2,Male,1949,0,Country_strip\Ambroise Ngaimoko Studio 3Z_75468.png,
Christian Belpaire,458,Congolese,Africa,5,2,Male,1949,2003,Country_strip\Christian Belpaire_458.png,country_top10_artist_images/Christian Belpaire.jpg
Moke,75467,Congolese,Africa,6,2,Male,1950,2001,Country_strip\Moke_75467.png,
Max Jiménez,2915,Costa Rican,North America,1,62,Male,1908,1949,Country_strip\Max Jiménez_2915.png,
Francisco Amighetti Ruiz,150,Costa Rican,North America,2,2,Male,1907,1998,Country_strip\Francisco Amighetti Ruiz_150.png,
Boris Bućan,840,Croatian,Europe,1,22,Male,1947,0,Country_strip\Boris Bućan_840.png,country_top10_artist_images/Boris Bućan.jpg
Sanja Iveković,30946,Croatian,Europe,2,17,Female,1949,0,Country_strip\Sanja Iveković_30946.png,country_top10_artist_images/Sanja Iveković.jpg
Ivan Picelj,4611,Croatian,Europe,3,12,Male,1924,2011,Country_strip\Ivan Picelj_4611.png,
Mangelos (Dimitrije Bašičević),29439,Croatian,Europe,4,10,Male,1921,0,Country_strip\Mangelos Dimitrije Bašičević_29439.png,
Josip Vaništa,41131,Croatian,Europe,5,8,Male,1924,2018,Country_strip\Josip Vaništa_41131.png,
Tomislav Gotovac,40680,Croatian,Europe,6,5,Male,1937,2010,Country_strip\Tomislav Gotovac_40680.png,
David Maljković,32907,Croatian,Europe,7,4,Male,1973,0,Country_strip\David Maljković_32907.png,
Dalibor Martinis,35617,Croatian,Europe,8,2,Male,1947,0,Country_strip\Dalibor Martinis_35617.png,
Ivan Kožarić,41554,Croatian,Europe,9,2,Male,1921,0,Country_strip\Ivan Kožarić_41554.png,
Radovan Sredić,48225,Croatian,Europe,10,2,Male,1955,0,Country_strip\Radovan Sredić_48225.png,
Wifredo Lam,3349,Cuban,North America,1,18,Male,1902,1982,Country_strip\Wifredo Lam_3349.png,country_top10_artist_images/Wifredo Lam.jpg
Antonio Fernandez Reboiro,48036,Cuban,North America,2,14,Male,1935,0,Country_strip\Antonio Fernandez Reboiro_48036.png,
Agustín Fernández,1854,Cuban,North America,3,10,Male,1928,2006,Country_strip\Agustín Fernández_1854.png,
Marco Castillo,8305,Cuban,North America,4,8,Male,1971,0,Country_strip\Marco Castillo_8305.png,
Dagoberto Rodriguez,8307,Cuban,North America,5,7,Male,1969,0,Country_strip\Dagoberto Rodriguez_8307.png,country_top10_artist_images/Dagoberto Rodriguez.jpg
Carmen Herrera,30075,Cuban,North America,6,5,Female,1915,0,Country_strip\Carmen Herrera_30075.png,
Alexandre Arrechea,8306,Cuban,North America,7,4,Male,1970,0,Country_strip\Alexandre Arrechea_8306.png,country_top10_artist_images/Alexandre Arrechea.jpg
Alfredo Rostgaard,5037,Cuban,North America,8,4,Male,1943,0,Country_strip\Alfredo Rostgaard_5037.png,
Felix Beltran,42348,Cuban,North America,9,4,Male,1938,0,Country_strip\Felix Beltran_42348.png,
Amelia Peláez Del Casal,4541,Cuban,North America,10,3,Female,1896,1968,Country_strip\Amelia Peláez Del Casal_4541.png,country_top10_artist_images/Amelia Peláez Del Casal.jpg
Michael Anastassiades,29031,Cypriot,Europe,1,1,Male,1967,0,Country_strip\Michael Anastassiades_29031.png,
František Kupka,3302,Czech,Europe,1,173,Male,1871,1957,Country_strip\František Kupka_3302.png,country_top10_artist_images/František Kupka.jpg
Milan Knížák,29427,Czech,Europe,2,127,Male,1940,0,Country_strip\Milan Knížák_29427.png,country_top10_artist_images/Milan Knížák.jpg
Zdeněk Rossmann,8254,Czech,Europe,3,48,Male,1905,1984,Country_strip\Zdeněk Rossmann_8254.png,
Augustin Tschinkel,5952,Czech,Europe,4,29,Male,1905,0,Country_strip\Augustin Tschinkel_5952.png,
František Kalivoda,8251,Czech,Europe,5,21,Male,1913,1971,Country_strip\František Kalivoda_8251.png,
Jirí Balcar,303,Czech,Europe,6,21,Male,1929,1968,Country_strip\Jirí Balcar_303.png,
Josef Koudelka,3229,Czech,Europe,7,15,Male,1938,0,Country_strip\Josef Koudelka_3229.png,country_top10_artist_images/Josef Koudelka.jpg
Karel Teige,5826,Czech,Europe,8,7,Male,1900,1951,Country_strip\Karel Teige_5826.png,country_top10_artist_images/Karel Teige.jpg
Alphonse Mucha,4136,Czech,Europe,9,6,Male,1860,1939,Country_strip\Alphonse Mucha_4136.png,country_top10_artist_images/Alphonse Mucha.jpg
Jindrich Streit,6984,Czech,Europe,10,6,Male,1946,0,Country_strip\Jindrich Streit_6984.png,country_top10_artist_images/Jindrich Streit.jpg
Petr Tučný,48669,Czechoslovakian,Europe,1,1,Male,1920,2012,Country_strip\Petr Tučný_48669.png,country_top10_artist_images/Petr Tučný.jpg
Asger Jorn,2943,Danish,Europe,1,38,Male,1914,1973,Country_strip\Asger Jorn_2943.png,country_top10_artist_images/Asger Jorn.jpg
Per Kirkeby,3118,Danish,Europe,2,32,Male,1938,2018,Country_strip\Per Kirkeby_3118.png,
Troels Wörsel,6453,Danish,Europe,3,30,Male,1950,0,Country_strip\Troels Wörsel_6453.png,
Axel Salto,5128,Danish,Europe,4,28,Male,1889,1961,Country_strip\Axel Salto_5128.png,
Ulrik Heltoft,74387,Danish,Europe,5,25,Male,1973,0,Country_strip\Ulrik Heltoft_74387.png,
Eric Andersen,36940,Danish,Europe,6,16,Male,1940,0,Country_strip\Eric Andersen_36940.png,country_top10_artist_images/Eric Andersen.jpg
Jacob Jensen,2909,Danish,Europe,7,14,Male,1926,2015,Country_strip\Jacob Jensen_2909.png,country_top10_artist_images/Jacob Jensen.jpg
Richard Mortensen,4113,Danish,Europe,8,14,Male,1910,1993,Country_strip\Richard Mortensen_4113.png,country_top10_artist_images/Richard Mortensen.jpg
Arne Jacobsen,2869,Danish,Europe,9,12,Male,1902,1971,Country_strip\Arne Jacobsen_2869.png,country_top10_artist_images/Arne Jacobsen.jpg
Henning Christiansen,36942,Danish,Europe,10,11,Male,1932,2008,Country_strip\Henning Christiansen_36942.png,
Rudy VanderLans,30187,Dutch,Europe,1,70,Male,1955,0,Country_strip\Rudy VanderLans_30187.png,
Piet Zwart,6592,Dutch,Europe,2,56,Male,1885,1977,Country_strip\Piet Zwart_6592.png,country_top10_artist_images/Piet Zwart.jpg
Fré Cohen,67665,Dutch,Europe,3,48,Female,1903,1943,Country_strip\Fré Cohen_67665.png,country_top10_artist_images/Fré Cohen.jpg
Irma Boom,33693,Dutch,Europe,4,43,Female,1960,0,Country_strip\Irma Boom_33693.png,country_top10_artist_images/Irma Boom.jpg
Jan Dibbets,1533,Dutch,Europe,5,40,Male,1941,0,Country_strip\Jan Dibbets_1533.png,country_top10_artist_images/Jan Dibbets.jpg
Theo van Doesburg,6076,Dutch,Europe,6,34,Male,1883,1931,Country_strip\Theo van Doesburg_6076.png,country_top10_artist_images/Theo van Doesburg.jpg
Willem Jacob Henri Berend Sandberg,5144,Dutch,Europe,7,33,Male,1897,1984,Country_strip\Willem Jacob Henri Berend Sandberg_5144.png,country_top10_artist_images/Willem Jacob Henri Berend Sandberg.jpg
Paul Schuitema,5273,Dutch,Europe,8,31,Male,1897,1973,Country_strip\Paul Schuitema_5273.png,country_top10_artist_images/Paul Schuitema.jpg
Stanley Brouwn,29982,Dutch,Europe,9,27,Male,1935,2017,Country_strip\Stanley Brouwn_29982.png,country_top10_artist_images/Stanley Brouwn.jpg
Diederick Van Kleef,6083,Dutch,Europe,10,24,Male,1954,0,Country_strip\Diederick Van Kleef_6083.png,
Galo Galecio,2055,Ecuadorian,South America,1,3,Male,1908,1993,Country_strip\Galo Galecio_2055.png,
Peter Mussfeldt,4190,Ecuadorian,South America,2,2,Male,1938,0,Country_strip\Peter Mussfeldt_4190.png,
Diógenes Paredes,4494,Ecuadorian,South America,3,1,Male,1910,1968,Country_strip\Diógenes Paredes_4494.png,
Oswaldo Guayasamín,2386,Ecuadorian,South America,4,1,Male,1919,1999,Country_strip\Oswaldo Guayasamín_2386.png,
Wael Shawky,41664,Egyptian,Africa,1,16,Male,1971,0,Country_strip\Wael Shawky_41664.png,country_top10_artist_images/Wael Shawky.jpg
Basim Magdy,47821,Egyptian,Africa,2,5,Male,1977,0,Country_strip\Basim Magdy_47821.png,country_top10_artist_images/Basim Magdy.jpg
Ecke Bonk,30869,Egyptian,Africa,3,3,Male,1953,0,Country_strip\Ecke Bonk_30869.png,
Iman Issa,49198,Egyptian,Africa,4,3,Female,1979,0,Country_strip\Iman Issa_49198.png,country_top10_artist_images/Iman Issa.jpg
