ConstituentID,DisplayName,Nationality,Gender,BeginDate,EndDate
3,Bill Arnold,American,Male,1941,0
11,Jean (Hans) Arp,French,Male,1886,1966
19,Richard Artschwager,American,Male,1923,2013
28,Geneviève Asse,French,Female,1923,0
34,Alvar Aalto,Finnish,Male,1898,1976
41,Berenice Abbott,American,Female,1898,1991
53,Vito Acconci,American,Male,1940,2017
60,Ansel Adams,American,Male,1902,1984
62,Clinton Adams,American,Male,1918,2002
66,Robert Adams,American,Male,1937,0
86,Otl Aicher (also known as Otto Aicher),German,Male,1922,1991
96,Anni Albers,American,Female,1899,1994
97,Josef Albers,American,Male,1888,1976
107,Pierre Alechinsky,Belgian,Male,1927,0
108,Peter Alexander,American,Male,1939,2020
129,Harold Altman,American,Male,1924,2003
135,Manuel álvarez Bravo,Mexican,Male,1902,2002
153,Emma Amos,American,Female,1937,2020
174,Carl Andre,American,Male,1935,0
190,Thomas Annan,British,Male,1829,1887
194,Horst Antes,German,Male,1936,0
196,Stephen Antonakos,American,Male,1926,2013
198,Garo Antreasian,American,Male,1922,0
200,Richard Anuszkiewicz,American,Male,1930,2020
207,Shusaku Arakawa,American,Male,1936,2010
208,Diane Arbus,American,Female,1923,1971
209,Aleksandr Archipenko,American,Male,1887,1964
229,Eugène Atget,French,Male,1857,1927
248,Richard Avedon,American,Male,1923,2004
255,Ay-O,Japanese,Male,1931,0
272,Francis Bacon,British,Male,1909,1992
273,Peggy Bacon,American,Female,1895,1987
278,Libero Badii,Argentine,Male,1916,2001
289,William Bailey,American,Male,1930,2020
292,Enrico Baj,Italian,Male,1924,2003
304,John Baldessari,American,Male,1931,2020
318,Lewis Baltz,American,Male,1945,2014
322,Walter Darby Bannard,American,Male,1934,2016
335,Ernst Barlach,German,Male,1870,1938
336,George Barnard,American,Male,1819,1902
352,Robert Barry,American,Male,1936,0
364,Bernard Baschet,French,Male,1917,2015
366,Georg Baselitz,German,Male,1938,0
369,Leonard Baskin,American,Male,1922,2000
370,Jean-Michel Basquiat,American,Male,1960,1988
392,Willi Baumeister,German,Male,1889,1955
393,Lothar Baumgarten,German,Male,1944,2018
398,Hippolyte Bayard,French,Male,1801,1887
399,Herbert Bayer,American,Male,1900,1985
416,Felice Beato,Italian,Male,1825,1903
420,André Beaudin,French,Male,1895,1975
422,Bernd Becher,German,Male,1931,2007
429,Max Beckmann,German,Male,1884,1950
430,Francis Bedford,British,Male,1816,1894
451,Mario Bellini,Italian,Male,1935,0
452,Hans Bellmer,German,Male,1902,1975
455,George Bellows,American,Male,1882,1925
472,Billy Al Bengston,American,Male,1934,0
483,Thomas Hart Benton,American,Male,1889,1975
484,Roloff Beny,Canadian,Male,1924,1984
486,Christian Bérard,French,Male,1902,1949
502,Eugene Berman,American,Male,1899,1972
511,émile Bernard,French,Male,1868,1941
540,Joseph Beuys,German,Male,1921,1986
542,Thomas Bewick,British,Male,1753,1828
559,Max Bill,Swiss,Male,1908,1994
561,Ilse Bing,American,Female,1899,1998
570,Michael Bishop,American,Male,1946,2016
592,Peter Blake,British,Male,1932,0
607,Gay Block,American,Female,1942,0
610,Vern Blosum,American,Male,1936,2017
615,Anna Blume,German,Female,1937,2020
625,Mel Bochner,American,Male,1940,0
630,Alighiero Boetti,Italian,Male,1940,1994
640,Karl Bohrmann,German,Male,1928,1998
647,Jay Bolotin,American,Male,1949,0
649,Christian Boltanski,French,Male,1944,0
665,Pierre Bonnard,French,Male,1867,1947
670,Lee Bontecou,American,Female,1931,0
689,Richard Bosman,Australian,Male,1944,0
710,Louise Bourgeois,American,Female,1911,2010
712,Margaret Bourke-White,American,Female,1904,1971
734,Mathew B. Brady (studio of),American,Male,1823,1896
738,Constantin Brancu?i,French,Male,1876,1957
740,Bill Brandt,British,Male,1904,1983
744,Georges Braque,French,Male,1882,1963
745,Brassa? (Gyula Halász),French,Male,1899,1984
756,George Brecht,American,Male,1926,2008
768,André Breton,French,Male,1896,1966
769,Marcel Breuer,American,Male,1902,1981
771,William Brice,American,Male,1921,2008
795,Marcel Broodthaers,Belgian,Male,1924,1976
806,James Brown,American,Male,1951,2020
811,Roger Brown,American,Male,1941,1997
816,Robert Brownjohn,American,Male,1925,1970
826,William Brui,Israeli,Male,1946,0
833,Günter Brus,Austrian,Male,1938,0
853,Eugene Buechel,American,Male,1874,1954
861,Wynn Bullock,American,Male,1902,1975
869,Max Burchartz,German,Male,1887,1961
871,Chris Burden,American,Male,1946,2015
873,Daniel Buren,French,Male,1938,0
877,David Burliuk,Ukrainian,Male,1882,1967
879,Edward Burne-Jones,British,Male,1833,1898
890,Pol Bury,Belgian,Male,1922,2005
909,Paul Cadmus,American,Male,1904,1999
912,John Cage,American,Male,1912,1992
914,Miriam Cahn,Swiss,Female,1949,0
922,Alexander Calder,American,Male,1898,1976
924,Harry Callahan,American,Male,1912,1999
934,Luis Camnitzer,Uruguayan,Male,1937,0
942,Massimo Campigli,Italian,Male,1895,1971
952,Rafael Canogar,Spanish,Male,1935,0
956,Robert Capa,American,Male,1913,1954
959,Alfred Capel Cure,British,Male,1826,1896
1000,Henri Cartier-Bresson,French,Male,1908,2004
1003,Carybé (Hector Bernabó),Brazilian,Male,1911,1997
1015,A. M. Cassandre,French,Male,1901,1968
1016,Mary Cassatt,American,Female,1844,1926
1037,Elizabeth Catlett,American,Female,1915,2012
1048,Vija Celmins,American,Female,1938,0
1053,Paul Cézanne,French,Male,1839,1906
1055,Marc Chagall,French,Male,1887,1985
1063,Martín Chambi,Peruvian,Male,1891,1973
1074,Jean Charlot,American,Male,1898,1979
1081,Roger Chastel,French,Male,1897,1981
1084,José Chávez Morado,Mexican,Male,1909,2002
1091,Ivan Chermayeff,American,Male,1932,2017
1104,Eduardo Chillida,Spanish,Male,1924,2002
1106,Giorgio de Chirico,Italian,Male,1888,1978
1112,William Christenberry,American,Male,1936,2016
1114,Christo,American,Male,1935,2020
1118,Chryssa,American,Female,1933,2013
1123,Michael Ciavolino,American,Male,1924,2019
1125,Roman Cieslewicz,French,Male,1930,1996
1133,Larry Clark,American,Male,1943,0
1145,Francesco Clemente,Italian,Male,1952,0
1156,Chuck Close,American,Male,1940,0
1164,Alvin Langdon Coburn,American,Male,1882,1966
1184,Warrington Colescott,American,Male,1921,2018
1192,André Collot,French,Male,1897,1976
1198,Robert Colquhoun,British,Male,1914,1962
1215,Bruce Conner,American,Male,1933,2008
1243,Lovis Corinth,German,Male,1858,1925
1247,Joseph Cornell,American,Male,1903,1972
1260,Marie Cosindas,American,Female,1923,2017
1277,Robert Couturier,French,Male,1905,2008
1285,Douglas Craft,American,Male,1924,2015
1286,Tony Cragg,British,Male,1949,0
1292,Barbara Crane,American,Female,1928,2019
1293,Meg Cranston,American,Female,1960,0
1310,George P. Critcherson,American,Male,1823,1892
1325,José Luis Cuevas,Mexican,Male,1934,2017
1330,Robert Cumming,American,Male,1943,0
1332,Imogen Cunningham,American,Female,1883,1976
1349,Allan D'Arcangelo,American,Male,1930,1998
1364,Salvador Dalí,Spanish,Male,1904,1989
1379,Joseph Dankowski,American,Male,1932,2010
1402,Arthur B. Davies,American,Male,1862,1928
1412,Stuart Davis,American,Male,1892,1964
1433,Walter De Maria,American,Male,1935,2013
1444,Niki de Saint Phalle,French,Female,1930,2002
1447,Nicolas de Sta?l,French,Male,1914,1955
1453,Captain William de Wiveleslie Abney,British,Male,1843,1920
1479,Robert Delaunay,French,Male,1885,1941
1480,Sonia Delaunay-Terk,French,Female,1885,1979
1492,Maurice Denis,French,Male,1870,1943
1500,André Derain,French,Male,1880,1954
1511,Charles Despiau,French,Male,1874,1946
1520,Walter Dexel,German,Male,1890,1973
1533,Jan Dibbets,Dutch,Male,1941,0
1539,Richard Diebenkorn,American,Male,1922,1993
1547,Jim Dine,American,Male,1935,0
1559,Otto Dix,German,Male,1891,1969
1579,Oscar Domínguez,French,Male,1906,1957
1589,Gustave Doré,French,Male,1832,1883
1629,Maxime Du Camp,French,Male,1822,1894
1633,Jean Dubuffet,French,Male,1901,1985
1634,Marcel Duchamp,American,Male,1887,1968
1646,Raoul Dufy,French,Male,1877,1953
1652,Carroll Dunham,American,Male,1949,0
1667,Carlus Dyer,American,Male,1917,2016
1671,Charles Eames,American,Male,1907,1978
1672,Ray Eames,American,Female,1912,1988
1686,Edouard-Léon-Louis Edy-Legrand,French,Male,1892,1970
1690,William Eggleston,American,Male,1939,0
1724,Peter Henry Emerson,British,Male,1856,1936
1739,James Ensor,Belgian,Male,1860,1949
1750,Hans Erni,Swiss,Male,1909,2015
1752,Max Ernst,French,Male,1891,1976
1756,Elliott Erwitt,American,Male,1928,0
1777,Walker Evans,American,Male,1903,1975
1782,Connor Everts,American,Male,1928,2016
1784,Alexandra Exter,Russian,Female,1882,1949
1790,?yvind Fahlstr?m,Swedish,Male,1928,1976
1815,Jean Fautrier,French,Male,1898,1964
1818,Louis Favre,French,Male,1892,1956
1832,Lyonel Feininger,American,Male,1871,1956
1847,Roger Fenton,British,Male,1819,1869
1859,León Ferrari,Argentine,Male,1920,2013
1873,Robert Filliou,French,Male,1926,1987
1874,Albert M. Fine,American,Male,1932,1987
1878,Ian Hamilton Finlay,British,Male,1925,2006
1889,Eric Fischl,American,Male,1948,0
