ConstituentID,DisplayName,Nationality,Gender,BeginDate,EndDate,Local_Image_Path
11,Jean (Hans) Arp,French,Male,1886,1966,homepage_artist_image\Jean (Hans) Arp.jpg
28,Geneviève Asse,French,Female,1923,0,homepage_artist_image\Geneviève Asse.jpg
34,Alvar Aalto,Finnish,Male,1898,1976,homepage_artist_image\Alvar Aalto.jpg
41,Berenice Abbott,American,Female,1898,1991,homepage_artist_image\Berenice Abbott.jpg
53,Vito Acconci,American,Male,1940,2017,homepage_artist_image\Vito Acconci.jpg
60,Ansel Adams,American,Male,1902,1984,homepage_artist_image\Ansel Adams.jpg
86,Otl Aicher (also known as Otto Aicher),German,Male,1922,1991,homepage_artist_image\Otl Aicher (also known as Otto Aicher).jpg
96,Anni Albers,American,Female,1899,1994,homepage_artist_image\Anni Albers.jpg
97,Josef Albers,American,Male,1888,1976,homepage_artist_image\Josef Albers.jpg
107,Pierre Alechinsky,Belgian,Male,1927,0,homepage_artist_image\Pierre Alechinsky.jpg
108,Peter Alexander,American,Male,1939,2020,homepage_artist_image\Peter Alexander.jpg
129,Harold Altman,American,Male,1924,2003,homepage_artist_image\Harold Altman.jpg
135,Manuel álvarez Bravo,Mexican,Male,1902,2002,homepage_artist_image\Manuel álvarez Bravo.jpg
174,Carl Andre,American,Male,1935,0,homepage_artist_image\Carl Andre.jpg
198,Garo Antreasian,American,Male,1922,0,homepage_artist_image\Garo Antreasian.jpg
207,Shusaku Arakawa,American,Male,1936,2010,homepage_artist_image\Shusaku Arakawa.jpg
208,Diane Arbus,American,Female,1923,1971,homepage_artist_image\Diane Arbus.jpg
209,Aleksandr Archipenko,American,Male,1887,1964,homepage_artist_image\Aleksandr Archipenko.jpg
229,Eugène Atget,French,Male,1857,1927,homepage_artist_image\Eugène Atget.jpg
248,Richard Avedon,American,Male,1923,2004,homepage_artist_image\Richard Avedon.jpg
255,Ay-O,Japanese,Male,1931,0,homepage_artist_image\Ay-O.jpg
272,Francis Bacon,British,Male,1909,1992,homepage_artist_image\Francis Bacon.jpg
273,Peggy Bacon,American,Female,1895,1987,homepage_artist_image\Peggy Bacon.jpg
289,William Bailey,American,Male,1930,2020,homepage_artist_image\William Bailey.jpg
292,Enrico Baj,Italian,Male,1924,2003,homepage_artist_image\Enrico Baj.jpg
304,John Baldessari,American,Male,1931,2020,homepage_artist_image\John Baldessari.jpg
