Name,Continent,Rank,Count
Frédéric Bruly Bouabré,Africa,1,481
William Kentridge,Africa,2,77
David Goldblatt,Africa,3,48
Diane Victor,Africa,4,18
Marlene Dumas,Africa,5,16
Wael Shawky,Africa,6,16
Barthelemy Toguo,Africa,7,13
Claudette Schreuders,Africa,8,11
Ibrahim El-Salahi,Africa,9,9
Jean Depara,Africa,10,9
Yoshitomo Nara,Asia,1,145
Masuo Ikeda,Asia,2,90
Tadanori Yokoo,Asia,3,83
Yutaka Matsuzawa,Asia,4,79
Mieko Shiomi,Asia,5,73
Bezalel Schatz,Asia,6,47
Ay-O,Asia,7,43
Madoka Takagi,Asia,8,39
Shomei Tomatsu,Asia,9,29
Zwi Milshtein,Asia,10,29
Eugène Atget,Europe,1,2725
Pablo Picasso,Europe,2,1132
Jean Dubuffet,Europe,3,987
Henri Matisse,Europe,4,979
Marc Chagall,Europe,5,972
Pierre Bonnard,Europe,6,902
Émile Bernard,Europe,7,628
Georges Rouault,Europe,8,590
André Derain,Europe,9,557
August Sander,Europe,10,553
Ludwig Mies van der Rohe,North America,1,654
Louise Bourgeois,North America,2,504
George Maciunas,North America,3,493
Lee Friedlander,North America,4,411
Jim Dine,North America,5,372
Frank Lloyd Wright,North America,6,371
Ben Kinmont,North America,7,328
Sol LeWitt,North America,8,324
Raymond Pettibon,North America,9,298
Robert Rauschenberg,North America,10,293
Sidney Nolan,Oceania,1,58
Richard Bosman,Oceania,2,45
Fred Williams,Oceania,3,14
Tracey Moffatt,Oceania,4,12
Denise Green,Oceania,5,5
Richard Tipping,Oceania,6,5
Marc Newson,Oceania,7,4
Simon Denny,Oceania,8,4
Clement Meadmore,Oceania,9,3
Colin Lanceley,Oceania,10,3
José Antonio Suárez Londoño,South America,1,236
Roberto Matta,South America,2,205
Omar Rayo,South America,3,53
Carybé (Hector Bernabó),South America,4,47
León Ferrari,South America,5,40
Luis Camnitzer,South America,6,39
Gego (Gertrud Goldschmidt),South America,7,33
Libero Badii,South America,8,33
Nicolás Paris,South America,9,32
Vik Muniz,South America,10,32
