ConstituentID,DisplayName,Nationality,Gender,BeginDate,EndDate
1,Robert Arneson,American,Male,1930,1992
2,Doroteo Arnaiz,Spanish,Male,1936,0
3,Bill Arnold,American,Male,1941,0
4,Charles Arnoldi,American,Male,1946,0
5,Per Arnoldi,Danish,Male,1941,0
6,Danilo Aroldi,Italian,Male,1925,0
7,Bill Aron,American,Male,1941,0
9,David Aronson,American,Male,1923,0
10,Irene Aronson,American,Female,1918,0
11,Jean (Hans) Arp,French,Male,1886,1966
12,Jüri Arrak,Estonian,Male,1936,0
13,J. Arrelano Fischer,Mexican,Male,1911,1995
15,Folke Arstrom,Swedish,Male,1907,1997
16,Cristobal Arteche,Spanish,Male,1900,1964
19,Richard Artschwager,American,Male,1923,2013
21,Ruth Asawa,American,Female,1926,2013
23,Charles Robert Ashbee,British,Male,1863,1942
24,Donald Ashcraft,American,Male,1927,0
25,E. M. Ashe,American,Male,1867,1941
27,Erik Gunnar Asplund,Swedish,Male,1885,1940
28,Geneviève Asse,French,Female,1923,0
30,Sergio Asti,Italian,Male,1926,0
31,Dana Atchley,American,Female,1941,2000
34,Alvar Aalto,Finnish,Male,1898,1976
35,Aino Aalto,Finnish,Female,1894,1949
36,Eero Aarnio,Finnish,Male,1932,0
37,Jules Aarons,American,Male,1921,2008
38,Magdalena Abakanowicz,Polish,Female,1930,2017
39,James Abbe,American,Male,1883,1973
40,Jussuf Abbo,Palestinian,Male,1888,1953
41,Berenice Abbott,American,Female,1898,1991
42,Nobuya Abe,Japanese,Male,1913,1971
43,Abe Shiro (pen Name: Suichiku),Japanese,Male,1900,0
44,Robert Abel,American,Male,1937,0
46,Sigmund Abeles,American,Male,1934,0
47,Raimund Abraham,American,Male,1933,2010
49,Ivor Abrahams,British,Male,1935,0
50,Gerald Abramovitz,British,Male,1928,2011
51,William Ross Abrams,American,Male,1920,2007
52,Rodolfo Abularach,Guatemalan,Male,1933,0
53,Vito Acconci,American,Male,1940,2017
54,Milton Ackoff,American,Male,1915,0
56,Luis Alberto Acuña,Colombian,Male,1904,1994
57,Henri Georges Adam,French,Male,1904,1967
58,Antoine Samuel Adam-Salomon,French,Male,1818,1881
59,Valerio Adami,Italian,Male,1935,0
60,Ansel Adams,American,Male,1902,1984
61,Alice Adams,American,Female,1930,0
62,Clinton Adams,American,Male,1918,2002
63,Dacres Adams,British,Male,1864,1951
64,Dennis Adams,American,Male,1948,0
65,Kenneth M. Adams,American,Male,1897,1966
66,Robert Adams,American,Male,1937,0
67,Shelby Lee Adams,American,Female,1950,0
68,Charles Addams,American,Male,1912,1988
69,Allan Adler,American,Male,1916,2002
70,Jankel Adler,Polish,Male,1895,1949
71,Virginia Admiral,American,Female,1915,2000
72,Pic Adrian,Romanian,Male,1910,0
74,Roy Adzak,British,Male,1927,1987
76,Nicholas Africano,American,Male,1948,0
77,Afro (Afro Basaldella),Italian,Male,1912,1976
79,Agam (Yaacov Agam),Israeli,Male,1928,0
80,Mehemed Fehmy Agha,American,Male,1896,1978
