time_bucket,all_artist_num,continents
1730s,1,"{""Europe"":1}"
1740s,1,"{""Europe"":1}"
1750s,1,"{""Europe"":1}"
1760s,0,{}
1770s,1,"{""North America"":1}"
1780s,4,"{""Europe"":4}"
1790s,10,"{""Europe"":9,""North America"":1}"
1800s,18,"{""Europe"":18}"
1810s,48,"{""Europe"":45,""North America"":3}"
1820s,52,"{""Europe"":40,""North America"":12}"
1830s,48,"{""Europe"":34,""North America"":13,""Asia"":1}"
1840s,62,"{""Europe"":41,""North America"":21}"
1850s,88,"{""Europe"":57,""North America"":31}"
1860s,195,"{""Europe"":140,""North America"":53,""South America"":2}"
1870s,252,"{""Europe"":170,""North America"":78,""South America"":3,""Asia"":1}"
1880s,498,"{""Europe"":323,""North America"":160,""Asia"":7,""South America"":5,""Oceania"":3}"
1890s,641,"{""Europe"":360,""North America"":235,""Asia"":25,""South America"":21}"
1900s,803,"{""North America"":368,""Europe"":365,""Asia"":35,""South America"":31,""Oceania"":4}"
1910s,740,"{""North America"":404,""Europe"":249,""South America"":46,""Asia"":36,""Oceania"":5}"
1920s,1194,"{""North America"":557,""Europe"":452,""South America"":107,""Asia"":65,""Africa"":9,""Oceania"":4}"
1930s,1397,"{""North America"":660,""Europe"":507,""Asia"":116,""South America"":95,""Africa"":10,""Oceania"":9}"
1940s,1470,"{""North America"":838,""Europe"":457,""Asia"":82,""South America"":66,""Africa"":15,""Oceania"":12}"
1950s,1086,"{""North America"":587,""Europe"":365,""Asia"":72,""South America"":40,""Africa"":17,""Oceania"":5}"
1960s,1023,"{""Europe"":439,""North America"":401,""Asia"":113,""South America"":42,""Africa"":20,""Oceania"":8}"
1970s,768,"{""North America"":337,""Europe"":272,""Asia"":87,""South America"":38,""Africa"":29,""Oceania"":5}"
1980s,159,"{""North America"":71,""Europe"":51,""Asia"":21,""South America"":8,""Africa"":5,""Oceania"":3}"
1990s,7,"{""Europe"":3,""North America"":3,""Asia"":1}"
2000s,1,"{""Europe"":1}"
