time_bucket,all_artwork_num,continents
1765-1769,2,"{""Europe"":2}"
1770-1774,0,{}
1775-1779,0,{}
1780-1784,0,{}
1785-1789,0,{}
1790-1794,0,{}
1795-1799,80,"{""Europe"":80}"
1800-1804,0,{}
1805-1809,0,{}
1810-1814,81,"{""Europe"":81}"
1815-1819,342,"{""Europe"":342}"
1820-1824,1,"{""Europe"":1}"
1825-1829,18,"{""Europe"":18}"
1830-1834,2,"{""Europe"":2}"
1835-1839,12,"{""Europe"":11,""North America"":1}"
1840-1844,94,"{""Europe"":94}"
1845-1849,46,"{""Europe"":46}"
1850-1854,250,"{""Europe"":235,""North America"":15}"
1855-1859,346,"{""Europe"":328,""North America"":18}"
1860-1864,434,"{""Europe"":217,""North America"":217}"
1865-1869,392,"{""North America"":242,""Europe"":150}"
1870-1874,365,"{""Europe"":285,""North America"":80}"
1875-1879,253,"{""Europe"":134,""North America"":119}"
1880-1884,161,"{""Europe"":84,""North America"":77}"
1885-1889,304,"{""Europe"":264,""North America"":40}"
1890-1894,826,"{""Europe"":731,""North America"":95}"
1895-1899,1167,"{""Europe"":920,""North America"":247}"
1900-1904,1676,"{""Europe"":1401,""North America"":256,""Asia"":18,""South America"":1}"
1905-1909,1343,"{""Europe"":1104,""North America"":239}"
1910-1914,2689,"{""Europe"":2232,""North America"":452,""Asia"":4,""South America"":1}"
1915-1919,2100,"{""Europe"":1555,""North America"":529,""Asia"":13,""South America"":2,""Oceania"":1}"
1920-1924,3844,"{""Europe"":3180,""North America"":638,""Asia"":17,""South America"":8,""Oceania"":1}"
1925-1929,4455,"{""Europe"":3284,""North America"":1143,""South America"":17,""Asia"":11}"
1930-1934,4304,"{""Europe"":2686,""North America"":1560,""South America"":42,""Asia"":16}"
1935-1939,2851,"{""North America"":1587,""Europe"":1201,""South America"":51,""Asia"":10,""Oceania"":2}"
1940-1944,3285,"{""Europe"":1666,""North America"":1545,""South America"":46,""Asia"":28}"
1945-1949,4303,"{""Europe"":3084,""North America"":1099,""South America"":57,""Asia"":51,""Oceania"":10,""Africa"":2}"
1950-1954,3017,"{""Europe"":1470,""North America"":1338,""South America"":111,""Asia"":98}"
1955-1959,3393,"{""North America"":1651,""Europe"":1487,""South America"":153,""Asia"":90,""Africa"":9,""Oceania"":3}"
1960-1964,5689,"{""North America"":3442,""Europe"":1717,""Asia"":285,""South America"":217,""Africa"":17,""Oceania"":11}"
1965-1969,8371,"{""North America"":4831,""Europe"":2734,""South America"":408,""Asia"":371,""Oceania"":17,""Africa"":10}"
1970-1974,5420,"{""North America"":3173,""Europe"":1748,""South America"":218,""Asia"":191,""Oceania"":64,""Africa"":26}"
1975-1979,3995,"{""North America"":2531,""Europe"":1223,""South America"":115,""Asia"":99,""Africa"":19,""Oceania"":8}"
1980-1984,4032,"{""North America"":2295,""Europe"":1448,""South America"":165,""Asia"":106,""Oceania"":10,""Africa"":8}"
1985-1989,3577,"{""North America"":2000,""Europe"":1323,""Asia"":90,""South America"":86,""Oceania"":46,""Africa"":32}"
1990-1994,3661,"{""North America"":1624,""Europe"":1095,""Africa"":488,""Asia"":264,""South America"":188,""Oceania"":2}"
1995-1999,2424,"{""North America"":1406,""Europe"":675,""Asia"":160,""South America"":131,""Africa"":38,""Oceania"":14}"
2000-2004,3543,"{""North America"":1878,""Europe"":1229,""Asia"":205,""Africa"":113,""South America"":111,""Oceania"":7}"
2005-2009,2337,"{""North America"":1259,""Europe"":649,""Asia"":185,""South America"":152,""Africa"":90,""Oceania"":2}"
2010-2014,1571,"{""North America"":874,""Europe"":456,""Asia"":123,""South America"":75,""Africa"":36,""Oceania"":7}"
2015-2019,717,"{""North America"":365,""Europe"":223,""Asia"":77,""South America"":35,""Africa"":15,""Oceania"":2}"
2020-2024,2,"{""North America"":2}"
